frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,clear_prev_above,vp_chart_blend,chart_flush,vp_gauge_blend,gauge_flush,map_resample,vp_map_blend,map_flush1,map_flush2,above_blend,above_flush,flush_total,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,retries,submit_result,query_result,decoder_copy
0,0.0612,189.118,0.0171,0.0035,0.0134,0.0107,0.0014,0.0009,4.8293,189.079,0.0317,0.0002,0.0807,0.601,0.0163,0.1494,0.0152,0.0163,0.1727,0.1111,0.0079,0.0961,1.1303,0.0438,0.0168,0.0615,13.7986,0.0978,0,203.148,0,735676448,694906272,0,0,116476604,1,0,1,0,0,0,24,0
1,0.0568,2.3553,0.7778,0.005,0.7726,0.7605,0.0091,0.0017,0.3626,1.5029,0.0216,0.0098,0.0123,0.1572,0.006,0.0656,0.0049,0.0306,0.399,0.2441,0.0123,0.1289,0.9948,0.0143,0.0733,0.0261,35.4733,0.3863,0.5992,39.3807,1,735676448,694904864,1,0,116476604,2,1,1,1,0,0,0,0
2,0.0495,181.941,0.7454,0.0037,0.7415,0.7297,0.0093,0.0011,0.243,181.179,0.0209,0.0134,0.0603,0.1781,0.0143,0.0753,0.0069,0.0056,0.0697,0.0535,0.0035,0.0519,0.4285,0.0056,0.0145,0.0275,0.4429,0.2246,0.4635,183.328,2,735676448,694905568,2,0,116476604,3,2,1,1,0,0,0,0
3,0.0433,90.0649,0.721,0.0023,0.7186,0.7097,0.007,0.0009,0.2327,89.3359,0.0201,0.011,0.0061,0.1119,0.0041,0.0601,0.0021,0.0019,0.037,0.0275,0.0022,0.0394,0.2759,0.0035,0.0072,0.0144,0.3239,0.1764,0.2955,91.0075,3,735676448,694906976,0,0,116476604,4,3,1,1,0,0,0,0
4,0.0402,155.334,0.6499,0.0024,0.6473,0.6432,0.0029,0.0007,0.4714,154.645,0.0242,0.0123,0.0071,0.1406,0.006,0.0472,0.0037,0.0031,0.0385,0.0401,0.0025,0.0928,0.3592,0.0199,0.037,0.046,0.543,0.3109,0.2693,156.66,4,735676448,735686304,1,0,116476604,5,4,1,1,0,0,0,0
5,0.063,110.455,0.9358,0.0038,0.9318,0.9211,0.0084,0.0012,0.2266,109.511,0.0177,0.0121,0.0072,0.1082,0.0025,0.047,0.0047,0.0019,0.0271,0.0258,0.0014,0.0375,0.2456,0.0044,0.0066,0.014,0.2993,0.2126,0.3147,111.485,5,735676448,735678560,2,0,116476604,6,5,1,1,0,0,0,0
6,0.0407,98.3982,0.736,0.0023,0.7336,0.7294,0.0028,0.0009,0.2749,97.6529,0.0197,0.0123,0.006,0.1087,0.0025,0.0412,0.0027,0.0047,0.0364,0.0449,0.0017,0.0391,0.2703,0.004,0.0086,0.0143,0.2774,0.2879,0.3424,99.5531,6,735676448,735682784,0,0,116476604,7,6,1,1,0,0,0,0
7,0.0467,118.532,0.5621,0.0025,0.5594,0.553,0.0044,0.001,0.1778,117.961,0.0208,0.0114,0.0066,0.1212,0.005,0.0436,0.0023,0.0017,0.0301,0.0281,0.0016,0.042,0.265,0.0041,0.008,0.0151,0.2446,0.209,0.1613,119.331,7,735676448,735687008,1,0,116476604,8,7,1,1,0,0,0,0
8,0.0402,95.4827,0.6974,0.0022,0.6951,0.6842,0.0079,0.0014,0.2396,94.7751,0.0191,0.013,0.0061,0.1214,0.0046,0.0431,0.0028,0.0018,0.0313,0.0279,0.0016,0.0746,0.2983,0.004,0.0092,0.0152,0.24,0.2004,0.1851,96.2821,0,735676448,694906272,2,0,116476604,9,8,1,1,0,0,0,0
9,0.0424,93.482,0.6881,0.0023,0.6857,0.6728,0.0096,0.0016,0.2207,92.7743,0.0202,0.0128,0.0071,0.1383,0.0112,0.0905,0.0027,0.0052,0.0497,0.0467,0.0049,0.0612,0.3864,0.0051,0.0184,0.0233,0.41,0.5725,0.2022,94.8463,1,735676448,694904864,0,0,116476604,10,9,1,1,0,0,0,0
