frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,23413024660560,23413028228154,23413034719296,23413044170104,23413044190264,23413045173473,23413045402341,23413045402401,16,207.418,35.6759,64.9114,94.5081,0.2016,9.83209,2.28868
1,1,0,1e+08,23413050935683,23413055476198,23413055888785,23413055970013,23413055997365,23413056307229,23413056575989,23413056576109,16,56.4043,45.4051,4.12587,0.81228,0.27352,3.09864,2.6876
2,1,0,1e+08,23413059805736,23413061361644,23413070850678,23413077890862,23413077919206,23413078460982,23413079067517,23413079067692,16,192.62,15.5591,94.8903,70.4018,0.28344,5.41776,6.06535
3,1,0,1e+08,23413081664092,23413083509848,23413087440565,23413090576038,23413090599642,23413091515532,23413091770162,23413091770222,16,101.061,18.4576,39.3072,31.3547,0.23604,9.1589,2.5463
4,1,0,1e+08,23413093898915,23413097151455,23413103336854,23413109304135,23413109329287,23413110304761,23413110648400,23413110648612,16,167.497,32.5254,61.854,59.6728,0.25152,9.75474,3.43639
5,1,0,1e+08,23413112727751,23413115753676,23413119099510,23413123657188,23413123679430,23413124495937,23413124749989,23413124750049,16,120.223,30.2593,33.4583,45.5768,0.22242,8.16507,2.54052
6,1,0,1e+08,23413126751051,23413128694386,23413133381436,23413136513095,23413136532591,23413137366241,23413137626017,23413137626077,16,108.75,19.4333,46.8705,31.3166,0.19496,8.3365,2.59776
7,1,0,1e+08,23413139799390,23413142284139,23413146994432,23413151629273,23413151654345,23413151932365,23413152101581,23413152101617,16,123.022,24.8475,47.1029,46.3484,0.25072,2.7802,1.69216
8,1,0,1e+08,23413153479867,23413153709947,23413158408066,23413163081231,23413163111371,23413163667254,23413163827210,23413163827250,16,103.474,2.3008,46.9812,46.7317,0.3014,5.55883,1.59956
9,1,0,1e+08,23413165250095,23413165503652,23413168890506,23413174516742,23413174540342,23413174857228,23413175437269,23413175437434,16,101.873,2.53557,33.8685,56.2624,0.236,3.16886,5.80041
10,1,0,1e+08,23413176662832,23413176904100,23413177148232,23413177283113,23413177300497,23413178272205,23413178499702,23413178499754,16,18.3692,2.41268,2.44132,1.34881,0.17384,9.71708,2.27497
11,1,0,1e+08,23413180073317,23413181051297,23413181416201,23413181579641,23413181599949,23413181887805,23413182072361,23413182072397,16,19.9908,9.7798,3.64904,1.6344,0.20308,2.87856,1.84556
12,1,0,1e+08,23413183554747,23413183858889,23413184252905,23413184339593,23413184420901,23413185204544,23413185447197,23413185447265,16,18.9252,3.04142,3.94016,0.86688,0.81308,7.83643,2.42653
13,1,0,1e+08,23413187097808,23413187813263,23413188304172,23413188460952,23413188484256,23413188806372,23413188965944,23413188965984,16,18.6818,7.15455,4.90909,1.5678,0.23304,3.22116,1.59572
14,1,0,1e+08,23413190534222,23413191147401,23413191749297,23413191898250,23413191920286,23413192253606,23413192422290,23413192422330,16,18.8811,6.13179,6.01896,1.48953,0.22036,3.3332,1.68684
15,1,0,1e+08,23413193911053,23413194430220,23413195108714,23413195258348,23413195281053,23413195622073,23413195837241,23413195837349,16,19.263,5.19167,6.78494,1.49634,0.22705,3.4102,2.15168
16,1,0,1e+08,23413199145899,23413199952704,23413200315502,23413200419642,23413200455606,23413200736754,23413200927082,23413200927118,16,17.8122,8.06805,3.62798,1.0414,0.35964,2.81148,1.90328
17,1,0,1e+08,23413202369733,23413202701853,23413203088527,23413203193171,23413203230411,23413203592534,23413204197907,23413204198003,16,18.2827,3.3212,3.86674,1.04644,0.3724,3.62123,6.05373
18,1,0,1e+08,23413206207940,23413206675182,23413207139628,23413207234308,23413207267232,23413207696612,23413207911248,23413207911296,16,17.0336,4.67242,4.64446,0.9468,0.32924,4.2938,2.14636
19,1,0,1e+08,23413209202422,23413209569406,23413209846574,23413209934262,23413209957922,23413210195278,23413210369830,23413210369858,16,11.6744,3.66984,2.77168,0.87688,0.2366,2.37356,1.74552
20,1,0,1e+08,23413212866277,23413213092513,23413213705763,23413213911133,23413213961448,23413215154277,23413215457292,23413215457360,16,25.9108,2.26236,6.1325,2.0537,0.50315,11.9283,3.03015
21,1,0,1e+08,23413215806763,23413216108591,23413216337891,23413216406323,23413216438207,23413216646415,23413216800075,23413216800103,16,9.9334,3.01828,2.293,0.68432,0.31884,2.08208,1.5366
22,1,0,1e+08,23413218640879,23413218917903,23413226576494,23413232712973,23413232745937,23413233157163,23413233588775,23413233588940,16,149.481,2.77024,76.5859,61.3648,0.32964,4.11226,4.31612
23,1,0,1e+08,23413234758852,23413235143044,23413235532476,23413235623250,23413235653838,23413236598760,23413236831314,23413236831378,16,20.7253,3.84192,3.89432,0.90774,0.30588,9.44922,2.32554
24,1,0,1e+08,23413238276121,23413238633843,23413238998073,23413239119735,23413239238655,23413240136146,23413240388208,23413240388272,16,21.1215,3.57722,3.6423,1.21662,1.1892,8.97491,2.52062
25,1,0,1e+08,23413242023121,23413242705372,23413249826899,23413256007576,23413256032896,23413256348893,23413256746949,23413256747114,16,147.24,6.82251,71.2153,61.8068,0.2532,3.15997,3.98056
26,1,0,1e+08,23413258061847,23413258494380,23413258801384,23413258869712,23413258891180,23413259713480,23413259940320,23413259940380,16,18.7853,4.32533,3.07004,0.68328,0.21468,8.223,2.2684
27,1,0,1e+08,23413261649471,23413261993872,23413262363961,23413262466605,23413262565452,23413263343774,23413263606007,23413263606071,16,19.566,3.44401,3.70089,1.02644,0.98847,7.78322,2.62233
