frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,clear_prev_above,vp_chart_blend,chart_flush,vp_gauge_blend,gauge_flush,map_resample,vp_map_blend,map_flush1,map_flush2,above_blend,above_flush,flush_total,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,retries,submit_result,query_result,decoder_copy
0,0.0552,24.1414,0.0181,0.003,0.0148,0.0119,0.0013,0.001,15.5181,24.1035,0.0118,0.0001,0.0894,7.4956,0.0207,0.1344,0.0119,0.0108,0.1614,0.0929,0.01,0.114,7.9983,0.0439,0.017,0.0525,3.6449,0.013,0,27.9135,0,3222483744,3142833248,0,0,116476604,1,0,1,0,0,0,24,0
1,0.0491,1.4029,0.7556,0.0026,0.7528,0.7454,0.006,0.0009,0.2472,0.6432,0.0056,0.0109,0.0067,0.1253,0.0044,0.0535,0.0032,0.0023,0.0493,0.0505,0.0018,0.0612,0.3398,0.007,0.0031,0.0223,13.6677,0.0139,0,15.1618,1,3222483744,3142834656,1,0,116476604,2,0,1,0,0,0,24,0
2,0.0411,1.3882,0.663,0.002,0.6607,0.6562,0.0028,0.0009,0.1799,0.7109,0.0084,0.0092,0.0136,0.1037,0.0132,0.1601,0.0047,0.0035,0.0678,0.0431,0.0019,0.0575,0.4322,0.0253,0.0132,0.0217,0.7277,0.2494,0.4838,3.1383,2,3222483744,3142838176,2,0,116476604,3,1,1,1,0,0,0,0
3,0.0692,1.8542,0.9233,0.0049,0.918,0.9061,0.009,0.0018,0.3011,0.9209,0.0117,0.0285,0.0152,0.1806,0.0073,0.0659,0.0059,0.0041,0.0681,0.0574,0.0032,0.1333,0.5053,0.0148,0.0089,0.02,0.5103,0.2508,0.4546,3.309,3,3222483744,3222477408,0,0,116476604,4,2,1,1,0,0,0,0
4,0.0481,1.7454,0.7015,0.0031,0.6981,0.6889,0.0072,0.0007,0.2036,1.0353,0.0057,0.0098,0.0088,0.0837,0.004,0.0368,0.0022,0.0032,0.2314,0.2457,0.0082,0.1666,0.7642,0.0082,0.0078,0.0162,0.428,0.2527,0.4032,3.0483,4,3222483744,3222485152,1,0,116476604,5,3,1,1,0,0,0,0
5,0.0893,1.8405,0.9587,0.0043,0.9542,0.9488,0.0036,0.0009,0.2778,0.8703,0.0104,0.0156,0.0094,0.3072,0.0186,0.0807,0.0056,0.0055,0.0385,0.0252,0.0018,0.0409,0.4925,0.0105,0.0109,0.0217,32.4718,0.2307,0.3871,35.1643,5,3222483744,3222487264,2,0,116476604,6,4,1,1,0,0,0,0
6,0.0428,1.5824,0.7722,0.0024,0.7696,0.7502,0.0152,0.0027,0.2274,0.7994,0.0067,0.0112,0.0068,0.0899,0.0156,0.0624,0.0222,0.0048,0.1458,0.0948,0.0101,0.0732,0.4661,0.0115,0.01,0.0138,0.391,0.0034,0,2.0366,6,3222483744,3222483040,0,0,116476604,7,4,1,0,0,0,24,0
7,0.0738,1.9309,0.9869,0.0065,0.9802,0.9621,0.0142,0.0016,0.3664,0.9265,0.0109,0.0159,0.013,0.1274,0.0045,0.08,0.0097,0.0053,0.0828,0.0649,0.0035,0.1059,0.461,0.015,0.0163,0.0207,0.9497,0.2804,0.4072,3.826,7,3222483744,3222473184,1,0,116476604,8,5,1,1,0,0,0,0
8,0.0559,2.217,0.8428,0.0028,0.8395,0.8273,0.0094,0.001,0.5,1.3628,0.0059,0.0096,0.0059,0.2072,0.0046,0.1647,0.0062,0.006,0.1776,0.1276,0.0025,0.1178,0.7949,0.015,0.0099,0.0144,23.3835,0.4348,0.4756,26.8572,0,3222483744,3142833248,2,0,116476604,9,6,1,1,0,0,0,0
9,0.0585,1.4498,0.8283,0.0035,0.8243,0.8164,0.005,0.0014,0.2335,0.6058,0.0072,0.0132,0.009,0.1141,0.0029,0.0443,0.0026,0.0025,0.0351,0.0464,0.0027,0.0663,0.3062,0.0136,0.014,0.0181,0.4358,0.2516,0.3535,2.7169,1,3222483744,3142834656,0,0,116476604,10,7,1,1,0,0,0,0
10,0.0394,1.1113,0.6867,0.0022,0.6843,0.6772,0.0051,0.0008,0.1638,0.4051,0.0061,0.0095,0.0065,0.0464,0.0021,0.021,0.0018,0.002,0.0271,0.038,0.0048,0.0523,0.1848,0.0128,0.0168,0.0313,0.4223,0.0029,0,1.6127,2,3222483744,3142838176,1,0,116476604,11,7,1,0,0,0,24,0
11,0.0495,1.2973,0.6899,0.0023,0.6872,0.6773,0.0066,0.0017,0.3025,0.595,0.0069,0.0116,0.0105,0.0634,0.0032,0.0246,0.0021,0.0051,0.0398,0.051,0.003,0.0444,0.2232,0.0118,0.0111,0.0458,0.8696,0.2438,0.3199,2.9839,3,3222483744,3222477408,2,0,116476604,12,8,1,1,0,0,0,0
