frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,23504762219635,23504765119876,23504765120361,23504766274566,23504766325181,23504767597772,23504768045278,23504768045338,16,58.257,29.0024,0.00485,11.542,0.50615,12.7259,4.47506
1,1,0,1e+08,23504768855479,23504769573373,23504769573661,23504769680058,23504769722530,23504770179054,23504770546582,23504770546622,16,16.9114,7.17894,0.00288,1.06397,0.42472,4.56524,3.67528
2,1,0,1e+08,23504772450508,23504774159892,23504774160012,23504774254056,23504774282572,23504774820202,23504775559605,23504775559801,16,31.0929,17.0938,0.0012,0.94044,0.28516,5.3763,7.39403
3,1,0,1e+08,23504775738269,23504779667474,23504779667750,23504779767288,23504779790604,23504780203040,23504780572209,23504780572321,16,48.3405,39.2921,0.00276,0.99538,0.23316,4.12436,3.69169
4,1,0,1e+08,23504780602949,23504783830815,23504783831223,23504783934872,23504783957176,23504784865950,23504785348055,23504785348103,16,47.4515,32.2787,0.00408,1.03649,0.22304,9.08774,4.82105
5,1,0,1e+08,23504785380259,23504785657499,23504785657539,23504785734911,23504785753683,23504785980947,23504786267575,23504786267607,16,8.87348,2.7724,0.0004,0.77372,0.18772,2.27264,2.86628
6,1,0,1e+08,23504787132732,23504793066139,23504793066419,23504793165369,23504793181585,23504794243153,23504794683229,23504794683269,16,75.5054,59.3341,0.0028,0.9895,0.16216,10.6157,4.40076
7,1,0,1e+08,23504794731129,23504794999733,23504794999769,23504795087385,23504795107877,23504795334681,23504795919855,23504795920370,16,11.8924,2.68604,0.00036,0.87616,0.20492,2.26804,5.85174
8,1,0,1e+08,23504795995030,23504796983094,23504796983289,23504797243622,23504797298952,23504797931711,23504798354763,23504798354803,16,23.5977,9.88064,0.00195,2.60333,0.5533,6.32759,4.23052
9,1,0,1e+08,23504798946806,23504799170798,23504799170862,23504799256608,23504799283720,23504800193415,23504800564123,23504800564179,16,16.1737,2.23992,0.00064,0.85746,0.27112,9.09695,3.70708
10,1,0,1e+08,23504801211966,23504802989962,23504802990118,23504803106230,23504803138522,23504803403942,23504803767722,23504803767774,16,25.5581,17.78,0.00156,1.16112,0.32292,2.6542,3.6378
11,1,0,1e+08,23504803802358,23504804064426,23504804064462,23504804132058,23504804150790,23504805042224,23504805510069,23504805510121,16,17.0776,2.62068,0.00036,0.67596,0.18732,8.91434,4.67845
12,1,0,1e+08,23504807019391,23504807288896,23504807288944,23504807369120,23504807396448,23504808300638,23504808813661,23504808813829,16,17.9444,2.69505,0.00048,0.80176,0.27328,9.0419,5.13023
13,1,0,1e+08,23504810537930,23504811006374,23504811006542,23504811083614,23504811104458,23504811473206,23504811880954,23504811881002,16,13.4307,4.68444,0.00168,0.77072,0.20844,3.68748,4.07748
14,1,0,1e+08,23504812735432,23504813006570,23504813006622,23504813079366,23504813101442,23504813447590,23504813940755,23504813940795,16,12.0536,2.71138,0.00052,0.72744,0.22076,3.46148,4.93165
15,1,0,1e+08,23504814933694,23504815213120,23504815213172,23504815300136,23504815326928,23504815763662,23504816107982,23504816108082,16,11.7439,2.79426,0.00052,0.86964,0.26792,4.36734,3.4432
