frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,clear_prev_above,vp_chart_blend,chart_flush,vp_gauge_blend,gauge_flush,map_resample,vp_map_blend,map_flush1,map_flush2,above_blend,above_flush,flush_total,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,retries,submit_result,query_result,decoder_copy
0,0.0547,237.967,0.0121,0.0032,0.0086,0.0064,0.0012,0.0007,4.0975,237.942,0.0363,0,0.0469,0.3344,0.0046,0.0559,0.0043,0.0049,0.0979,0.0959,0.0041,0.1097,0.6938,0.025,0.0084,0.0426,5.2763,0.0778,0,243.428,0,482829408,411903712,0,0,116476604,1,0,1,0,0,0,24,0
1,0.043,1.6309,0.7515,0.0036,0.7477,0.7366,0.0082,0.0012,0.3639,0.8685,0.0381,0.0117,0.0106,0.1802,0.0092,0.0488,0.0033,0.0024,0.0656,0.0357,0.0018,0.0485,0.3788,0.0069,0.0098,0.0171,0.6816,0.4282,0.5297,3.6133,1,482829408,411905120,1,0,116476604,2,1,1,1,0,0,0,0
2,0.0567,241.781,0.9179,0.0031,0.9144,0.9093,0.0033,0.0011,0.2205,240.847,0.0275,0.0166,0.0285,0.2311,0.0192,0.1177,0.006,0.0078,0.0794,0.068,0.004,0.1423,0.6385,0.0376,0.0135,0.0273,0.3172,0.1922,0.3203,242.835,2,482829408,411892448,2,0,116476604,3,2,1,1,0,0,0,0
3,0.0838,287.952,1.0679,0.004,1.0619,1.0535,0.0053,0.0018,0.2187,286.873,0.0388,0.0127,0.0074,0.143,0.0063,0.059,0.0037,0.0036,0.0379,0.0406,0.0032,0.0515,0.332,0.0162,0.0087,0.0175,0.2996,0.1704,0.3336,288.957,3,482829408,482830816,0,0,116476604,4,3,1,1,0,0,0,0
4,0.1705,248.641,2.2116,0.0255,2.1848,2.155,0.0218,0.0038,0.7851,246.418,0.0274,0.0163,0.0111,0.1898,0.0086,0.1067,0.0129,0.0074,0.0978,0.0759,0.0026,0.05,0.5202,0.0199,0.0091,0.0201,0.2864,0.1954,0.3736,249.809,4,482829408,482837856,1,0,116476604,5,4,1,1,0,0,0,0
5,0.0439,275.34,0.6899,0.0028,0.6868,0.6789,0.0052,0.0013,0.2259,274.638,0.0372,0.0153,0.0157,0.2163,0.009,0.1394,0.0144,0.0061,0.1105,0.0551,0.0052,0.0807,0.602,0.0339,0.01,0.0166,0.2515,0.1562,0.1998,276.095,5,482829408,482831520,2,0,116476604,6,5,1,1,0,0,0,0
6,0.0416,273.541,0.6245,0.0026,0.6216,0.6149,0.0048,0.001,0.1953,272.901,0.0294,0.018,0.0124,0.1731,0.0065,0.0649,0.0034,0.0037,0.058,0.0592,0.0025,0.0502,0.4054,0.018,0.0138,0.023,0.3099,0.2119,0.2607,274.501,6,482829408,482835040,0,0,116476604,7,6,1,1,0,0,0,0
7,0.0609,290.943,0.8902,0.0041,0.8857,0.8752,0.0083,0.0012,0.5461,290.037,0.0345,0.0142,0.0096,0.1434,0.0088,0.1504,0.0048,0.0169,0.099,0.0809,0.0033,0.066,0.5397,0.0184,0.0136,0.0212,0.3968,0.2336,0.3156,292.133,7,482829408,482835744,1,0,116476604,8,7,1,1,0,0,0,0
8,0.0679,271.678,0.9606,0.0099,0.9504,0.9366,0.0105,0.0016,0.279,270.705,0.0238,0.019,0.0145,0.2397,0.0115,0.1377,0.0068,0.005,0.0721,0.0904,0.0041,0.0789,0.6188,0.0387,0.0103,0.0194,0.3037,0.1887,0.2905,272.665,0,482829408,411903712,2,0,116476604,9,8,1,1,0,0,0,0
9,0.0511,292.147,0.751,0.0036,0.7471,0.7347,0.0099,0.0012,0.2517,291.384,0.0477,0.0144,0.0116,0.1639,0.0052,0.113,0.0054,0.0074,0.0838,0.0549,0.0037,0.061,0.4766,0.0343,0.0099,0.0187,0.3057,0.2692,0.4485,293.404,1,482829408,411905120,0,0,116476604,10,9,1,1,0,0,0,0
