frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,23492937938756,23492939683890,23492946490877,23492954700279,23492954846942,23492955270121,23492955460401,23492955460449,16,175.217,17.4513,68.0699,82.094,1.46663,4.23179,1.9028
1,1,0,1e+08,23492966583278,23492967901232,23492968254741,23492968357001,23492968380745,23492968658613,23492968816225,23492968816261,16,22.3298,13.1795,3.53509,1.0226,0.23744,2.77868,1.57612
2,1,0,1e+08,23492970307664,23492971634890,23492980141962,23492988167391,23492988195447,23492988486375,23492988630215,23492988630251,16,183.226,13.2723,85.0707,80.2543,0.28056,2.90928,1.4384
3,1,0,1e+08,23492996660770,23492998729796,23493006892792,23493016285180,23493016334945,23493017384034,23493017594614,23493017594670,16,209.339,20.6903,81.63,93.9239,0.49765,10.4909,2.1058
4,1,0,1e+08,23493031367100,23493032734055,23493041621518,23493049157679,23493049181895,23493049440355,23493049600303,23493049600335,16,182.332,13.6696,88.8746,75.3616,0.24216,2.5846,1.59948
5,1,0,1e+08,23493061099411,23493062403954,23493070741921,23493079891917,23493079916033,23493080172710,23493080585680,23493080585845,16,194.864,13.0454,83.3797,91.5,0.24116,2.56677,4.1297
6,1,0,1e+08,23493090400664,23493092665611,23493099260099,23493108144338,23493108194597,23493109221812,23493109435689,23493109435753,16,190.351,22.6495,65.9449,88.8424,0.50259,10.2721,2.13877
7,1,0,1e+08,23493122419747,23493123797225,23493132921790,23493141454938,23493141482754,23493141979256,23493142565653,23493142565833,16,201.461,13.7748,91.2456,85.3315,0.27816,4.96502,5.86397
8,1,0,1e+08,23493156012026,23493156304418,23493165153210,23493173160416,23493173186745,23493173468653,23493173696266,23493173696436,16,176.844,2.92392,88.4879,80.0721,0.26329,2.81908,2.27613
9,1,0,1e+08,23493188092076,23493188770047,23493197729098,23493207532131,23493207558891,23493208292103,23493208735866,23493208735958,16,206.439,6.77971,89.5905,98.0303,0.2676,7.33212,4.43763
10,1,0,1e+08,23493222104452,23493222608917,23493223560794,23493223647525,23493223681409,23493224093379,23493224260447,23493224260495,16,21.5604,5.04465,9.51877,0.86731,0.33884,4.1197,1.67068
11,1,0,1e+08,23493226773461,23493227049773,23493227894728,23493228090343,23493228181931,23493228789651,23493229020559,23493229020727,16,22.4727,2.76312,8.44955,1.95615,0.91588,6.0772,2.30908
12,1,0,1e+08,23493233382115,23493233724996,23493233984476,23493234200540,23493234223592,23493234941571,23493235490994,23493235491278,16,21.0916,3.42881,2.5948,2.16064,0.23052,7.17979,5.49423
13,1,0,1e+08,23493238310593,23493238616033,23493238861161,23493238958473,23493238986253,23493240481342,23493240775964,23493240776172,16,24.6558,3.0544,2.45128,0.97312,0.2778,14.9509,2.94622
14,1,0,1e+08,23493243402234,23493243727954,23493243959578,23493244063294,23493244090258,23493244930428,23493245467185,23493245467281,16,20.6505,3.2572,2.31624,1.03716,0.26964,8.4017,5.36757
15,1,0,1e+08,23493247957567,23493248378042,23493248686806,23493248774562,23493248815966,23493249075914,23493249259118,23493249259290,16,13.0172,4.20475,3.08764,0.87756,0.41404,2.59948,1.83204
16,1,0,1e+08,23493257531433,23493258006689,23493258331581,23493258405537,23493258431813,23493258700821,23493258903857,23493258903945,16,13.7251,4.75256,3.24892,0.73956,0.26276,2.69008,2.03036
17,1,0,1e+08,23493263159132,23493263434982,23493264312469,23493264508661,23493264684062,23493265246145,23493265455281,23493265455333,16,22.962,2.7585,8.77487,1.96192,1.75401,5.62083,2.09136
18,1,0,1e+08,23493268352207,23493268699130,23493269803266,23493269905778,23493269957030,23493270385810,23493270579342,23493270579502,16,22.2729,3.46923,11.0414,1.02512,0.51252,4.2878,1.93532
19,1,0,1e+08,23493273935174,23493274870106,23493275250380,23493275336976,23493275369992,23493275679344,23493275863536,23493275863572,16,19.284,9.34932,3.80274,0.86596,0.33016,3.09352,1.84192
20,1,0,1e+08,23493278840623,23493279717157,23493280089534,23493280166514,23493280200674,23493280495126,23493280687506,23493280687538,16,18.4691,8.76534,3.72377,0.7698,0.3416,2.94452,1.9238
21,1,0,1e+08,23493285379791,23493286128599,23493286743981,23493286937937,23493286961949,23493287285461,23493287465629,23493287465669,16,20.8588,7.48808,6.15382,1.93956,0.24012,3.23512,1.80168
22,1,0,1e+08,23493291334514,23493291729478,23493300834466,23493309217378,23493309245606,23493309862545,23493310450047,23493310450222,16,191.157,3.94964,91.0499,83.8291,0.28228,6.16939,5.87502
23,1,0,1e+08,23493322253161,23493323115865,23493323486538,23493323563882,23493323594510,23493323944418,23493324112718,23493324112754,16,18.5959,8.62704,3.70673,0.77344,0.30628,3.49908,1.683
24,1,0,1e+08,23493327438897,23493328244732,23493328608768,23493328699972,23493328727740,23493329025828,23493329193820,23493329193856,16,17.5496,8.05835,3.64036,0.91204,0.27768,2.98088,1.67992
25,1,0,1e+08,23493330882442,23493332010172,23493338908954,23493343928448,23493343986666,23493344745384,23493344960416,23493344960472,16,140.78,11.2773,68.9878,50.1949,0.58218,7.58718,2.15032
26,1,0,1e+08,23493350349176,23493351147484,23493351622240,23493351706801,23493351729889,23493352117765,23493352293241,23493352293277,16,19.441,7.98308,4.74756,0.84561,0.23088,3.87876,1.75476
27,1,0,1e+08,23493354055970,23493355205645,23493356109178,23493356273499,23493356335639,23493357165380,23493357422701,23493357422921,16,33.6695,11.4968,9.03533,1.64321,0.6214,8.29741,2.57321
28,1,0,1e+08,23493357472197,23493357995277,23493358843280,23493358948464,23493359006600,23493359450872,23493359679968,23493359680156,16,22.0796,5.2308,8.48003,1.05184,0.58136,4.44272,2.29096
29,1,0,1e+08,23493360969017,23493362107915,23493362546406,23493362632750,23493362671530,23493363002478,23493363180522,23493363180558,16,22.1154,11.389,4.38491,0.86344,0.3878,3.30948,1.78044
30,1,0,1e+08,23493366258178,23493367125368,23493377235514,23493386940632,23493386967716,23493388155884,23493388526412,23493388526612,16,222.684,8.6719,101.101,97.0512,0.27084,11.8817,3.70528
31,1,0,1e+08,23493402715242,23493404106256,23493404375864,23493404451988,23493404482188,23493404738000,23493404900856,23493404900904,16,21.8566,13.9101,2.69608,0.76124,0.302,2.55812,1.62856
32,1,0,1e+08,23493406524593,23493407470168,23493407852266,23493407934382,23493407970610,23493408281658,23493408473766,23493408473802,16,19.4921,9.45575,3.82098,0.82116,0.36228,3.11048,1.92108
33,1,0,1e+08,23493410150170,23493411832539,23493412281066,23493412368826,23493412434630,23493412745350,23493412902502,23493412902542,16,27.5237,16.8237,4.48527,0.8776,0.65804,3.1072,1.57152
34,1,0,1e+08,23493413879897,23493414594354,23493414929550,23493415000338,23493415028302,23493415296030,23493415459326,23493415459358,16,15.7946,7.14457,3.35196,0.70788,0.27964,2.67728,1.63296
35,1,0,1e+08,23493418308752,23493419199014,23493419641429,23493419753050,23493419792098,23493420113374,23493420306314,23493420306350,16,19.976,8.90262,4.42415,1.11621,0.39048,3.21276,1.9294
36,1,0,1e+08,23493422807460,23493423083770,23493424199811,23493424304423,23493424392336,23493424812616,23493424978280,23493424978324,16,21.7086,2.7631,11.1604,1.04612,0.87913,4.2028,1.65664
37,1,0,1e+08,23493426317800,23493427014993,23493427364538,23493427461470,23493427491378,23493427763834,23493427928866,23493427928898,16,16.111,6.97193,3.49545,0.96932,0.29908,2.72456,1.65032
38,1,0,1e+08,23493430626987,23493431706739,23493432147648,23493432226364,23493432277968,23493432700104,23493432889340,23493432889436,16,22.6245,10.7975,4.40909,0.78716,0.51604,4.22136,1.89236
39,1,0,1e+08,23493435711299,23493436494575,23493437003828,23493437126372,23493437179160,23493437498584,23493437650024,23493437650064,16,19.3877,7.83276,5.09253,1.22544,0.52788,3.19424,1.5144
40,1,0,1e+08,23493440001064,23493440300380,23493440596880,23493440767004,23493440797532,23493441748630,23493441980661,23493441980725,16,19.7966,2.99316,2.965,1.70124,0.30528,9.51098,2.32031
41,1,0,1e+08,23493444812001,23493445100469,23493445351901,23493445445517,23493445493129,23493446636075,23493446905537,23493446905601,16,20.936,2.88468,2.51432,0.93616,0.47612,11.4295,2.69462
42,1,0,1e+08,23493448460117,23493449329984,23493449696702,23493449777338,23493449801386,23493450097394,23493450278466,23493450278502,16,18.1838,8.69867,3.66718,0.80636,0.24048,2.96008,1.81072
43,1,0,1e+08,23493453031698,23493453830935,23493454448037,23493454528070,23493454554066,23493454908855,23493455057163,23493455057203,16,20.2551,7.99237,6.17102,0.80033,0.25996,3.54789,1.48308
44,1,0,1e+08,23493457963007,23493459496425,23493459863806,23493459937826,23493459962626,23493460238362,23493460398162,23493460398198,16,24.3519,15.3342,3.67381,0.7402,0.248,2.75736,1.598
45,1,0,1e+08,23493462684182,23493462932158,23493472580470,23493480316285,23493480341721,23493480660159,23493480865269,23493480865434,16,181.813,2.47976,96.4831,77.3581,0.25436,3.18438,2.0511
46,1,0,1e+08,23493490641215,23493491590320,23493491966074,23493492108742,23493492156894,23493492440978,23493492592454,23493492592490,16,19.5128,9.49105,3.75754,1.42668,0.48152,2.84084,1.51476
47,1,0,1e+08,23493495404655,23493496379481,23493496793845,23493496871417,23493496893777,23493497204101,23493497348953,23493497348993,16,19.4434,9.74826,4.14364,0.77572,0.2236,3.10324,1.44852
48,1,0,1e+08,23493499888039,23493500265436,23493501337923,23493501440455,23493501510764,23493501924504,23493502098360,23493502098404,16,22.1036,3.77397,10.7249,1.02532,0.70309,4.1374,1.73856
49,1,0,1e+08,23493503793179,23493504211002,23493504513782,23493504582298,23493504602562,23493504853450,23493504995506,23493504995542,16,12.0236,4.17823,3.0278,0.68516,0.20264,2.50888,1.42056
50,1,0,1e+08,23493507565218,23493508679342,23493516788178,23493521835526,23493521885471,23493522576791,23493522798151,23493522798371,16,152.332,11.1412,81.0884,50.4735,0.49945,6.9132,2.2136
51,1,0,1e+08,23493532730976,23493533360101,23493533704285,23493533783837,23493533815397,23493534090533,23493534280821,23493534280853,16,15.4988,6.29125,3.44184,0.79552,0.3156,2.75136,1.90288
52,1,0,1e+08,23493537321848,23493538219244,23493538590936,23493538675636,23493538700324,23493538992120,23493539164064,23493539164100,16,18.4225,8.97396,3.71692,0.847,0.24688,2.91796,1.71944
