frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,26056256375899,26056258293908,26056265583088,26056273659261,26056273674493,26056273896221,26056274235873,26056274235901,16,178.6,19.1801,72.8918,80.7617,0.15232,2.21728,3.39652
1,1,0,1e+08,26056286545608,26056288511338,26056288511868,26056288709968,26056288764728,26056289800585,26056290283329,26056290283493,16,37.3788,19.6573,0.0053,1.981,0.5476,10.3586,4.82744
2,1,0,1e+08,26056291395950,26056294468593,26056298901184,26056303969035,26056304018856,26056304702307,26056305120538,26056305120618,16,137.247,30.7264,44.3259,50.6785,0.49821,6.83451,4.18231
3,1,0,1e+08,26056310694556,26056312675762,26056317951917,26056321335249,26056321354637,26056321705874,26056322542096,26056322542160,16,118.476,19.8121,52.7615,33.8333,0.19388,3.51237,8.36222
4,1,0,1e+08,26056329621236,26056331412780,26056335584288,26056340595656,26056340651781,26056341523876,26056341957449,26056341957605,16,123.364,17.9154,41.7151,50.1137,0.56125,8.72095,4.33573
5,1,0,1e+08,26056347516498,26056349063744,26056352553541,26056356234714,26056356262326,26056356551787,26056356797723,26056356797755,16,92.8126,15.4725,34.898,36.8117,0.27612,2.89461,2.45936
6,1,0,1e+08,26056362335270,26056363957658,26056368952857,26056372567166,26056372617634,26056373042300,26056373849499,26056373849591,16,115.143,16.2239,49.952,36.1431,0.50468,4.24666,8.07199
7,1,0,1e+08,26056382456898,26056383976189,26056388811014,26056392296994,26056392318384,26056392827114,26056393152334,26056393152362,16,106.955,15.1929,48.3483,34.8598,0.2139,5.0873,3.2522
8,1,0,1e+08,26056398243514,26056398482606,26056401734240,26056404913120,26056404929044,26056405987097,26056406414342,26056406414390,16,81.7088,2.39092,32.5163,31.7888,0.15924,10.5805,4.27245
9,1,0,1e+08,26056411973127,26056412258580,26056415409254,26056418540743,26056418556671,26056418851303,26056419091287,26056419091315,16,71.1819,2.85453,31.5067,31.3149,0.15928,2.94632,2.39984
