frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,clear_prev_above,vp_chart_blend,chart_flush,vp_gauge_blend,gauge_flush,map_resample,vp_map_blend,map_flush1,map_flush2,above_blend,above_flush,flush_total,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,retries,submit_result,query_result,decoder_copy
0,0.0531,21.9712,0.0151,0.0025,0.0124,0.0102,0.0011,0.0008,14.6165,21.943,0.0069,0.0001,0.0539,6.4836,0.0242,0.1123,0.0061,0.0062,0.1061,0.1127,0.0163,0.0564,6.8711,0.0287,0.0116,0.0423,2.4494,0.013,0,24.5353,0,3932507232,3861646112,0,0,116476604,1,0,1,0,0,0,24,0
1,0.0406,1.4743,0.6543,0.0025,0.6516,0.6463,0.003,0.001,0.3018,0.8097,0.007,0.0368,0.0156,0.2222,0.0058,0.0566,0.0045,0.0039,0.0545,0.0279,0.0014,0.0447,0.4059,0.0089,0.0092,0.0141,5.1282,0.3776,0.5191,8.0197,1,3932507232,3861646816,1,0,116476604,2,1,1,1,0,0,0,0
2,0.0448,1.7797,0.77,0.0024,0.7673,0.753,0.0113,0.0015,0.3192,0.9958,0.008,0.0144,0.0782,0.2348,0.0082,0.1195,0.0079,0.0036,0.0426,0.0732,0.0089,0.0441,0.5142,0.0134,0.0123,0.0173,0.5743,0.0048,0,2.425,2,3932507232,3861651040,2,0,116476604,3,1,1,0,0,0,24,0
3,0.0436,1.1946,0.735,0.0022,0.7326,0.7269,0.0039,0.0011,0.1756,0.4471,0.0047,0.0092,0.0059,0.0656,0.0019,0.0216,0.0021,0.008,0.0483,0.0462,0.0019,0.0345,0.2162,0.0101,0.0107,0.0337,0.7126,0.2625,0.4104,2.7935,3,3932507232,3932495264,0,0,116476604,4,2,1,1,0,0,0,0
4,0.1578,6.3669,2.3055,0.0183,2.2862,2.2335,0.0406,0.0062,1.0123,4.03,0.038,0.0459,0.064,0.8316,0.0632,0.4209,0.0306,0.0134,0.4124,0.6997,0.0124,0.262,2.6266,0.045,0.0294,0.0375,1.2034,0.3872,0.5734,8.9572,4,3932507232,3932499488,1,0,116476604,5,3,1,1,0,0,0,0
5,0.0606,4.9242,1.1454,0.0034,1.1417,1.0879,0.0427,0.0059,1.4949,3.7388,0.0444,0.0468,0.0857,0.5201,0.0189,0.6033,0.0241,0.0161,0.3368,0.2217,0.012,0.2,1.8819,0.0454,0.0368,0.0571,26.3838,0.1913,0.284,32.0131,5,3932507232,3932502304,2,0,116476604,6,4,1,1,0,0,0,0
6,0.0766,2.4465,1.1436,0.0047,1.1382,1.1277,0.0076,0.0013,0.3341,1.2831,0.0064,0.017,0.0111,0.1316,0.0159,0.0675,0.006,0.0059,0.0553,0.3136,0.0042,0.2653,0.8333,0.0212,0.018,0.0224,1.9966,0.0345,0,4.5887,6,3932507232,3932503712,0,0,116476604,7,4,1,0,0,0,24,0
7,0.1278,5.266,2.0681,0.0127,2.0547,2.0257,0.0232,0.0028,1.5713,3.1669,0.0182,0.0287,0.0215,0.5311,0.0277,0.1648,0.0139,0.0122,0.1595,0.1681,0.0254,0.152,1.1755,0.0396,0.0283,0.0372,1.3917,0.3505,0.4264,7.8832,7,3932507232,3932508640,1,0,116476604,8,5,1,1,0,0,0,0
8,0.1626,4.8161,1.9949,0.019,1.975,1.9469,0.0201,0.0048,0.9476,2.7877,0.0351,0.0442,0.0746,0.6749,0.0318,0.2876,0.0242,0.0152,0.3097,0.125,0.0099,0.1058,1.503,0.0398,0.0312,0.0406,1.0884,0.6125,0.6315,7.684,0,3932507232,3861646112,2,0,116476604,9,6,1,1,0,0,0,0
9,0.0645,1.8833,0.9191,0.0073,0.9115,0.8959,0.0118,0.0018,0.349,0.9475,0.0111,0.0176,0.0161,0.2036,0.0127,0.0854,0.0062,0.0041,0.0987,0.0576,0.0033,0.0481,0.4934,0.0131,0.0157,0.0226,0.3848,0.2653,0.4805,3.3115,1,3932507232,3861646816,0,0,116476604,10,7,1,1,0,0,0,0
10,0.1729,4.4889,2.2118,0.025,2.1856,2.156,0.0229,0.0034,0.7502,2.2405,0.0198,0.0441,0.0353,0.4951,0.0343,0.269,0.0171,0.0263,0.1871,0.1534,0.0148,0.0907,1.1953,0.0426,0.0334,0.0418,0.6666,0.4555,0.4424,6.5749,2,3932507232,3861651040,1,0,116476604,11,8,1,1,0,0,0,0
11,0.0589,1.6249,0.9523,0.0029,0.9492,0.9395,0.0065,0.0013,0.2473,0.6474,0.0061,0.0136,0.0081,0.1129,0.0075,0.0659,0.0037,0.0043,0.065,0.0379,0.0023,0.0371,0.3188,0.0173,0.0238,0.0354,0.3653,0.1865,1.0078,3.4636,3,3932507232,3932495264,2,0,116476604,12,9,1,1,0,0,0,0
12,0.0466,1.1353,0.652,0.0025,0.6493,0.6439,0.0033,0.0008,0.2011,0.4699,0.0039,0.0089,0.0067,0.056,0.0021,0.0338,0.0024,0.0032,0.0515,0.0397,0.0019,0.0358,0.2168,0.0106,0.0127,0.0309,0.4896,0.2518,0.2922,2.3966,4,3932507232,3932499488,0,0,116476604,13,10,1,1,0,0,0,0
13,0.0454,1.2617,0.7543,0.0028,0.7513,0.7446,0.0049,0.0007,0.2177,0.4968,0.0071,0.011,0.011,0.067,0.0067,0.0339,0.0031,0.0035,0.0368,0.0346,0.0028,0.0349,0.2072,0.0114,0.009,0.0223,0.3017,0.2424,0.2061,2.1711,5,3932507232,3932502304,1,0,116476604,14,11,1,1,0,0,0,0
14,0.1624,3.6156,2.1936,0.0187,2.174,2.1325,0.0335,0.0033,0.6112,1.3954,0.0194,0.0298,0.0288,0.2259,0.0094,0.0918,0.0066,0.0088,0.0919,0.1081,0.0066,0.0962,0.6139,0.0234,0.0237,0.0425,0.817,0.4039,0.9365,6.2641,6,3932507232,3932503712,2,0,116476604,15,12,1,1,0,0,0,0
15,0.0613,1.7926,1.031,0.0037,1.027,1.0168,0.0068,0.0016,0.1971,0.7411,0.0067,0.0186,0.0182,0.1541,0.0064,0.0603,0.0054,0.0097,0.0658,0.0557,0.0039,0.1077,0.4436,0.0126,0.0186,0.029,1.2511,0.8699,1.2388,5.7543,7,3932507232,3932508640,0,0,116476604,16,13,1,1,0,0,0,0
16,0.0442,1.1367,0.6427,0.0022,0.6403,0.634,0.0047,0.0006,0.1684,0.464,0.0043,0.0099,0.0062,0.0537,0.002,0.024,0.0017,0.0052,0.0359,0.0867,0.0021,0.0438,0.2441,0.0085,0.0133,0.0294,0.3537,0.268,0.3385,2.3107,0,3932507232,3861646112,1,0,116476604,17,14,1,1,0,0,0,0
17,0.0434,1.034,0.5959,0.0022,0.5935,0.587,0.005,0.0007,0.1619,0.42,0.0038,0.0094,0.0058,0.061,0.002,0.0255,0.0019,0.0056,0.0383,0.0433,0.0025,0.0374,0.2055,0.0088,0.0076,0.0205,0.2668,0.2014,0.255,1.9417,1,3932507232,3861646816,2,0,116476604,18,15,1,1,0,0,0,0
18,0.0411,1.6148,0.7932,0.0027,0.7903,0.7794,0.008,0.0011,0.319,0.7961,0.0067,0.0114,0.0125,0.0999,0.0045,0.0548,0.0046,0.0097,0.0742,0.0899,0.004,0.0707,0.3895,0.014,0.0117,0.0168,0.2932,0.4893,1.4795,4.4456,2,3932507232,3861651040,0,0,116476604,19,16,1,1,0,0,0,0
19,0.0442,1.2921,0.7294,0.0025,0.7266,0.7212,0.0039,0.001,0.1986,0.5331,0.0038,0.009,0.0061,0.0556,0.0037,0.0769,0.0047,0.0065,0.0522,0.053,0.0029,0.0378,0.2755,0.0088,0.0162,0.0307,0.2746,0.15,0.2617,2.1618,3,3932507232,3932495264,1,0,116476604,20,17,1,1,0,0,0,0
20,0.1736,5.4545,2.7641,0.0181,2.7452,2.689,0.0448,0.0056,1.0723,2.6264,0.0269,0.0395,0.0388,0.4387,0.031,0.2082,0.0241,0.0138,0.2712,0.1596,0.0106,0.1945,1.2722,0.0335,0.0275,0.0353,0.7476,0.4131,0.5601,7.6645,4,3932507232,3932499488,2,0,116476604,21,18,1,1,0,0,0,0
21,0.0473,1.8597,0.6985,0.0028,0.6954,0.6852,0.0076,0.0015,0.2731,1.1379,0.0067,0.0125,0.0112,0.2044,0.0174,0.1702,0.011,0.0042,0.1476,0.1722,0.0016,0.0699,0.7643,0.0171,0.0124,0.0252,0.4279,0.3164,0.2683,3.0772,5,3932507232,3932502304,0,0,116476604,22,19,1,1,0,0,0,0
22,0.0415,1.2393,0.7877,0.0021,0.7854,0.7791,0.0046,0.0008,0.1535,0.4211,0.0045,0.009,0.0062,0.0518,0.0018,0.0413,0.0069,0.004,0.0543,0.0283,0.0022,0.0321,0.2078,0.0133,0.0185,0.0283,0.3365,0.2462,0.4279,2.446,6,3932507232,3932503712,1,0,116476604,23,20,1,1,0,0,0,0
23,0.0442,1.3378,0.7212,0.0023,0.7187,0.7107,0.0062,0.0008,0.2097,0.5629,0.005,0.0135,0.0075,0.0707,0.0022,0.0257,0.0025,0.0066,0.0367,0.0487,0.0016,0.0958,0.2776,0.0202,0.0348,0.0585,2.2284,1.0487,1.4,6.6085,7,3932507232,3932508640,2,0,116476604,24,21,1,1,0,0,0,0
24,0.0492,3.0081,0.8515,0.0029,0.8479,0.8377,0.0067,0.0015,0.2926,2.0494,0.0054,0.0457,0.0078,0.608,0.0154,0.1327,0.0067,0.0071,0.0633,0.1503,0.014,0.6019,1.5562,0.0696,0.0515,0.0674,1.6618,1.0764,1.2223,7.587,0,3932507232,3861646112,0,0,116476604,25,22,1,1,0,0,0,0
25,0.0539,1.5363,0.7608,0.0027,0.7578,0.7502,0.0059,0.0007,0.188,0.7488,0.0071,0.0147,0.01,0.1234,0.0043,0.1182,0.0055,0.0147,0.1235,0.0661,0.0036,0.0303,0.4615,0.0125,0.0147,0.0228,0.297,0.1698,0.2973,2.4859,1,3932507232,3861646816,1,0,116476604,26,23,1,1,0,0,0,0
26,0.0421,1.1238,0.6763,0.0021,0.674,0.6695,0.0029,0.0008,0.163,0.4253,0.0042,0.0097,0.0069,0.0535,0.0023,0.0238,0.0019,0.005,0.0395,0.0498,0.0032,0.041,0.2076,0.0094,0.01,0.0269,0.5437,0.2356,0.3603,2.4736,2,3932507232,3861651040,2,0,116476604,27,24,1,1,0,0,0,0
27,0.0411,1.2745,0.646,0.0026,0.6428,0.6328,0.0073,0.0013,0.2259,0.6069,0.0073,0.0142,0.0136,0.0963,0.0044,0.0359,0.0045,0.0071,0.0685,0.0503,0.0044,0.0475,0.2985,0.0116,0.0085,0.0312,0.4194,0.1883,0.2694,2.331,3,3932507232,3932495264,0,0,116476604,28,25,1,1,0,0,0,0
28,0.0436,1.2176,0.6974,0.0024,0.6948,0.6866,0.0059,0.0009,0.2009,0.4988,0.004,0.0087,0.0094,0.0697,0.0085,0.0256,0.002,0.0053,0.0483,0.0535,0.0023,0.0368,0.2339,0.0116,0.0124,0.025,0.2601,0.178,0.2642,2.0838,4,3932507232,3932499488,1,0,116476604,29,26,1,1,0,0,0,0
