frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,26072792325556,26072794488242,26072794488722,26072795180705,26072795718063,26072796241536,26072796658272,26072796658312,16,43.3276,21.6269,0.0048,6.91983,5.37358,5.23473,4.16736
1,1,0,1e+08,26072798053710,26072799431603,26072799431731,26072799526559,26072799551411,26072800452102,26072800945660,26072800945712,16,28.92,13.7789,0.00128,0.94828,0.24852,9.00691,4.93558
2,1,0,1e+08,26072802077684,26072804010375,26072804010531,26072804110695,26072804138263,26072804374443,26072804784324,26072804784484,16,27.068,19.3269,0.00156,1.00164,0.27568,2.3618,4.09881
3,1,0,1e+08,26072805636515,26072808419336,26072808419886,26072808555829,26072809749490,26072810072182,26072810928152,26072810928204,16,52.9169,27.8282,0.0055,1.35943,11.9366,3.22692,8.5597
4,1,0,1e+08,26072810963588,26072811265404,26072811265444,26072811365700,26072811401512,26072812061901,26072816012313,26072816012843,16,50.4925,3.01816,0.0004,1.00256,0.35812,6.60389,39.5041
5,1,0,1e+08,26072816090120,26072820478009,26072820478297,26072820578569,26072820599657,26072820970345,26072821355025,26072821355061,16,52.6494,43.8789,0.00288,1.00272,0.21088,3.70688,3.8468
6,1,0,1e+08,26072821409553,26072821760297,26072821760473,26072821856717,26072821925652,26072823009332,26072823556109,26072823556257,16,21.467,3.50744,0.00176,0.96244,0.68935,10.8368,5.46777
7,1,0,1e+08,26072826038265,26072826329010,26072826329046,26072826424354,26072826449494,26072826857759,26072827939180,26072827939464,16,19.012,2.90745,0.00036,0.95308,0.2514,4.08265,10.8142
8,1,0,1e+08,26072827978776,26072828417662,26072828417834,26072828501322,26072828521074,26072828829738,26072829212646,26072829212874,16,12.341,4.38886,0.00172,0.83488,0.19752,3.08664,3.82908
9,1,0,1e+08,26072833529038,26072833830478,26072833830518,26072833921018,26072833941818,26072834184762,26072834795626,26072834795801,16,12.6676,3.0144,0.0004,0.905,0.208,2.42944,6.10864
10,1,0,1e+08,26072838278077,26072838658922,26072838658974,26072838740178,26072838763610,26072839063514,26072839363574,26072839363710,16,10.8563,3.80845,0.00052,0.81204,0.23432,2.99904,3.0006
11,1,0,1e+08,26072842496950,26072843392246,26072843392314,26072843477419,26072843500127,26072843958807,26072844332059,26072844332091,16,18.3514,8.95296,0.00068,0.85105,0.22708,4.5868,3.73252
12,1,0,1e+08,26072847423025,26072848242585,26072848242770,26072848398529,26072848433337,26072848876330,26072849256650,26072849256690,16,18.3366,8.1956,0.00185,1.55759,0.34808,4.42993,3.8032
13,1,0,1e+08,26072850953560,26072852034341,26072852034429,26072852338016,26072852355860,26072852802395,26072853644412,26072853644504,16,26.9094,10.8078,0.00088,3.03587,0.17844,4.46535,8.42017
14,1,0,1e+08,26072853988066,26072854325758,26072854325802,26072854397802,26072854416234,26072854719850,26072855074958,26072855075130,16,10.8706,3.37692,0.00044,0.72,0.18432,3.03616,3.55108
15,1,0,1e+08,26072856470444,26072857366960,26072857367024,26072857448220,26072857471080,26072857865617,26072858219165,26072858219277,16,17.4883,8.96516,0.00064,0.81196,0.2286,3.94537,3.53548
16,1,0,1e+08,26072861924389,26072862666865,26072862667045,26072862820594,26072862862898,26072863386633,26072863759337,26072863759377,16,18.3499,7.42476,0.0018,1.53549,0.42304,5.23735,3.72704
17,1,0,1e+08,26072865330812,26072866160807,26072866160899,26072866275149,26072866298949,26072866945974,26072867290490,26072867290522,16,19.5971,8.29995,0.00092,1.1425,0.238,6.47025,3.44516
18,1,0,1e+08,26072867645910,26072868627646,26072868627710,26072868744587,26072868780443,26072869152131,26072869485343,26072869485443,16,18.3953,9.81736,0.00064,1.16877,0.35856,3.71688,3.33212
19,1,0,1e+08,26072871088335,26072871767028,26072871767208,26072871917042,26072871971816,26072872444809,26072872823093,26072872823133,16,17.348,6.78693,0.0018,1.49834,0.54774,4.72993,3.78284
20,1,0,1e+08,26072874908597,26072875345424,26072875345488,26072875424421,26072875444457,26072875777949,26072876116761,26072876116793,16,12.082,4.36827,0.00064,0.78933,0.20036,3.33492,3.38812
21,1,0,1e+08,26072877766276,26072878191978,26072878192163,26072878519395,26072878657240,26072879169374,26072879563678,26072879563714,16,17.9744,4.25702,0.00185,3.27232,1.37845,5.12134,3.94304
22,1,0,1e+08,26072881223297,26072881951780,26072881951960,26072882482910,26072882511666,26072882876835,26072883203239,26072883203279,16,19.7998,7.28483,0.0018,5.3095,0.28756,3.65169,3.26404
23,1,0,1e+08,26072885170998,26072885751372,26072885751436,26072885839304,26072885862228,26072886219512,26072886574280,26072886574320,16,14.0332,5.80374,0.00064,0.87868,0.22924,3.57284,3.54768
24,1,0,1e+08,26072888107185,26072888923233,26072888923325,26072889009768,26072889040228,26072889447177,26072889843889,26072889844009,16,17.3682,8.16048,0.00092,0.86443,0.3046,4.06949,3.96712
