frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,26063916809933,26063919562357,26063919562842,26063920254857,26063921433743,26063924651010,26063925317944,26063925318109,16,85.0818,27.5242,0.00485,6.92015,11.7889,32.1727,6.66934
1,1,0,1e+08,26063925391209,26063926529258,26063926529542,26063926677638,26063926706372,26063927147373,26063927533097,26063927533137,16,21.4193,11.3805,0.00284,1.48096,0.28734,4.41001,3.85724
2,1,0,1e+08,26063928276602,26063931521253,26063931521778,26063931724504,26063931775299,26063933477014,26063933959262,26063933959390,16,56.8279,32.4465,0.00525,2.02726,0.50795,17.0172,4.82248
3,1,0,1e+08,26063934010326,26063934392956,26063934393164,26063934495644,26063934529444,26063934869824,26063935165024,26063935165060,16,11.5473,3.8263,0.00208,1.0248,0.338,3.4038,2.952
4,1,0,1e+08,26063937226819,26063938054821,26063938054917,26063938184851,26063938210093,26063938633243,26063938996467,26063938996507,16,17.6969,8.28002,0.00096,1.29934,0.25242,4.2315,3.63224
5,1,0,1e+08,26063940701071,26063942793956,26063942794496,26063944776613,26063944808357,26063946946716,26063948051569,26063948051744,16,73.5067,20.9288,0.0054,19.8212,0.31744,21.3836,11.0485
6,1,0,1e+08,26063948126375,26063949286345,26063949286520,26063949464187,26063949510320,26063950305563,26063950795321,26063950795369,16,26.6899,11.5997,0.00175,1.77667,0.46133,7.95243,4.89758
7,1,0,1e+08,26063950842677,26063951150441,26063951150493,26063951252261,26063951274685,26063952012473,26063952676328,26063952676524,16,18.3385,3.07764,0.00052,1.01768,0.22424,7.37788,6.63855
8,1,0,1e+08,26063952712680,26063953010832,26063953010876,26063953079980,26063953098556,26063953367888,26063953700488,26063953700636,16,9.87956,2.98152,0.00044,0.69104,0.18576,2.69332,3.326
9,1,0,1e+08,26063953736220,26063955316418,26063955316570,26063955416250,26063955440834,26063955730182,26063956072510,26063956072542,16,23.3632,15.802,0.00152,0.9968,0.24584,2.89348,3.42328
10,1,0,1e+08,26063956658730,26063957542271,26063957542339,26063957627327,26063957652299,26063958050319,26063958393335,26063958393471,16,17.3474,8.83541,0.00068,0.84988,0.24972,3.9802,3.43016
11,1,0,1e+08,26063962119522,26063962697921,26063962697985,26063962785390,26063962806143,26063963173715,26063963560887,26063963560919,16,14.414,5.78399,0.00064,0.87405,0.20753,3.67572,3.87172
12,1,0,1e+08,26063966551403,26063967550637,26063967550832,26063967764965,26063967794889,26063968214823,26063968598551,26063968598587,16,20.4718,9.99234,0.00195,2.14133,0.29924,4.19934,3.83728
13,1,0,1e+08,26063969960168,26063971113284,26063971113454,26063971313430,26063971364290,26063972355234,26063973077946,26063973077994,16,31.1783,11.5312,0.0017,1.99976,0.5086,9.90944,7.22712
14,1,0,1e+08,26063973125178,26063973459344,26063973459436,26063973557218,26063973594538,26063974221077,26063974729357,26063974729445,16,16.0427,3.34166,0.00092,0.97782,0.3732,6.26539,5.0828
15,1,0,1e+08,26063974776653,26063975147399,26063975147569,26063975270797,26063975295353,26063975685892,26063976179360,26063976179496,16,14.0284,3.70746,0.0017,1.23228,0.24556,3.90539,4.93468
16,1,0,1e+08,26063981772959,26063982880535,26063982880705,26063983184206,26063983235856,26063983893968,26063984272292,26063984272344,16,24.9939,11.0758,0.0017,3.03501,0.5165,6.58112,3.78324
17,1,0,1e+08,26063984338144,26063984733366,26063984733574,26063984817314,26063984841946,26063985467081,26063986028937,26063986029021,16,16.9088,3.95222,0.00208,0.8374,0.24632,6.25135,5.61856
18,1,0,1e+08,26063986690049,26063987345059,26063987345249,26063987536840,26063987576504,26063988049364,26063988428448,26063988428580,16,17.3853,6.5501,0.0019,1.91591,0.39664,4.7286,3.79084
19,1,0,1e+08,26063990157249,26063990584349,26063990584539,26063990787668,26063990840413,26063991450383,26063991875052,26063991875092,16,17.1784,4.271,0.0019,2.03129,0.52745,6.0997,4.24669
20,1,0,1e+08,26063993432470,26063994189992,26063994190187,26063994358840,26063994399256,26063994871357,26063995239581,26063995239621,16,18.0715,7.57522,0.00195,1.68653,0.40416,4.72101,3.68224
21,1,0,1e+08,26063996845632,26063997851130,26063997851194,26063997940882,26063997965502,26063998357038,26063998704018,26063998704138,16,18.5851,10.055,0.00064,0.89688,0.2462,3.91536,3.4698
22,1,0,1e+08,26064000214986,26064000776669,26064000776864,26064000985088,26064001032603,26064001532995,26064001915975,26064001916011,16,17.0103,5.61683,0.00195,2.08224,0.47515,5.00392,3.8298
23,1,0,1e+08,26064004237173,26064004566753,26064004566797,26064004639397,26064004659209,26064004913193,26064005239773,26064005239809,16,10.0264,3.2958,0.00044,0.726,0.19812,2.53984,3.2658
24,1,0,1e+08,26064008169823,26064008928554,26064008928749,26064009079610,26064009108790,26064009575936,26064009945876,26064009945920,16,17.761,7.58731,0.00195,1.50861,0.2918,4.67146,3.6994
25,1,0,1e+08,26064011614591,26064012777967,26064012778142,26064012979737,26064013030170,26064014049211,26064014607714,26064014607786,16,29.932,11.6338,0.00175,2.01595,0.50433,10.1904,5.58503
26,1,0,1e+08,26064014678986,26064015134620,26064015134680,26064015206932,26064015231364,26064015652552,26064016082944,26064016083108,16,14.0412,4.55634,0.0006,0.72252,0.24432,4.21188,4.30392
