frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,clear_prev_above,vp_chart_blend,chart_flush,vp_gauge_blend,gauge_flush,map_resample,vp_map_blend,map_flush1,map_flush2,above_blend,above_flush,flush_total,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,retries,submit_result,query_result,decoder_copy
0,0.0764,15.538,0.0219,0.0055,0.0161,0.0124,0.0016,0.0013,6.3478,15.4427,0.0083,0.0001,0.0614,5.9493,0.0217,0.0811,0.0517,0.051,0.5493,0.7504,0.0247,0.357,7.6871,0.2001,0.0689,0.2576,8.0795,0.0232,0,23.9971,0,1284072672,1213998240,0,0,116476604,1,0,1,0,0,0,24,0
1,0.0425,1.2955,0.7414,0.0024,0.7387,0.734,0.0025,0.0015,0.2054,0.5463,0.0043,0.0096,0.006,0.0703,0.0018,0.0441,0.0069,0.0035,0.0399,0.0517,0.0148,0.0661,0.2721,0.0082,0.0065,0.0236,13.012,0.4196,0.7365,15.8637,1,1284072672,1213998944,1,0,116476604,2,1,1,1,0,0,0,0
2,0.0487,1.3279,0.6754,0.0027,0.6725,0.6672,0.004,0.0008,0.2353,0.6372,0.0037,0.0127,0.0184,0.0953,0.0085,0.0325,0.0034,0.0047,0.0693,0.0629,0.0027,0.0656,0.3256,0.0082,0.0143,0.0228,0.6178,0.0069,0,2.0267,2,1284072672,1214000352,2,0,116476604,3,1,1,0,0,0,24,0
3,0.0947,2.7974,1.3187,0.0098,1.3085,1.2844,0.019,0.0023,0.5294,1.4563,0.0109,0.0308,0.0178,0.1859,0.0062,0.0812,0.0081,0.015,0.1904,0.1988,0.0106,0.1269,0.7832,0.016,0.0206,0.0278,1.2885,0.2867,0.4582,5.1357,3,1284072672,1214001056,0,0,116476604,4,2,1,1,0,0,0,0
4,0.0428,1.6266,1.1093,0.0023,1.1067,1.0994,0.0051,0.0011,0.2677,0.5066,0.0038,0.0103,0.0072,0.0579,0.0019,0.0228,0.0064,0.0021,0.0457,0.0339,0.0016,0.0274,0.1877,0.0073,0.0097,0.0144,15.2335,0.2813,0.3891,17.7476,4,1284072672,1284070560,1,0,116476604,5,3,1,1,0,0,0,0
5,0.0417,1.7528,0.7275,0.0021,0.7252,0.7138,0.0082,0.0018,0.3255,1.0087,0.0071,0.0133,0.018,0.2057,0.0104,0.1095,0.0051,0.0036,0.1026,0.0854,0.0029,0.0895,0.5927,0.0126,0.0154,0.0191,0.5307,0.0026,0,2.35,5,1284072672,1284062112,2,0,116476604,6,3,1,0,0,0,24,0
6,0.0548,1.7985,0.9149,0.0034,0.9112,0.8963,0.0115,0.0018,0.3299,0.8712,0.0079,0.0193,0.0132,0.1551,0.0066,0.1009,0.01,0.0049,0.0999,0.0447,0.0034,0.0429,0.4435,0.0129,0.0114,0.0185,0.8166,0.1848,0.3366,3.3209,6,1284072672,1284059296,0,0,116476604,7,4,1,1,0,0,0,0
7,0.0459,1.6883,0.8462,0.0024,0.8435,0.832,0.0078,0.0012,0.1997,0.8307,0.0044,0.0096,0.0062,0.0594,0.002,0.0272,0.0024,0.0066,0.0534,0.2973,0.0035,0.1372,0.5745,0.0093,0.0099,0.0169,0.3835,0.1496,0.2498,2.6328,7,1284072672,1284058592,1,0,116476604,8,5,1,1,0,0,0,0
8,0.0412,2.13,0.7756,0.0021,0.7732,0.7651,0.0049,0.0022,0.5788,1.3435,0.0046,0.0143,0.0063,0.1572,0.003,0.128,0.0031,0.0035,0.1398,0.1384,0.0028,0.1431,0.7065,0.0094,0.0096,0.0138,0.3233,0.1369,0.2278,2.978,0,1284072672,1213998240,2,0,116476604,9,6,1,1,0,0,0,0
9,0.1784,6.2713,2.6663,0.0275,2.6292,2.5726,0.0446,0.0052,1.428,3.5634,0.0271,0.0427,0.0411,0.4429,0.0192,0.3284,0.0721,0.0188,0.3176,0.2958,0.0158,0.3577,1.7424,0.071,0.0383,0.0484,1.9633,0.4549,0.5034,9.6887,1,1284072672,1213998944,0,0,116476604,10,7,1,1,0,0,0,0
10,0.0653,1.6279,0.9436,0.0028,0.9406,0.9314,0.0069,0.0009,0.222,0.6568,0.005,0.0106,0.0077,0.0682,0.0047,0.0973,0.0079,0.008,0.0772,0.0633,0.0033,0.0435,0.3495,0.0203,0.0249,0.0435,0.6485,0.8972,0.4113,4.04,2,1284072672,1214000352,1,0,116476604,11,8,1,1,0,0,0,0
11,0.0558,1.7067,0.8604,0.0036,0.8566,0.8414,0.011,0.0017,0.2766,0.8326,0.0073,0.0131,0.0106,0.1273,0.0094,0.1299,0.0086,0.0116,0.0905,0.056,0.0037,0.0599,0.4636,0.011,0.0125,0.02,0.327,0.303,0.5094,3.1531,3,1284072672,1214001056,2,0,116476604,12,9,1,1,0,0,0,0
12,0.0509,1.2279,0.7799,0.0024,0.777,0.7714,0.0038,0.0009,0.1717,0.4293,0.0042,0.0094,0.0062,0.0494,0.0018,0.0248,0.0023,0.0082,0.0458,0.0438,0.0018,0.0368,0.2006,0.0105,0.0172,0.034,0.3813,0.3753,0.4952,2.8926,4,1284072672,1284070560,0,0,116476604,13,10,1,1,0,0,0,0
13,0.0456,1.4526,0.8337,0.0024,0.8311,0.8257,0.003,0.0014,0.236,0.613,0.0068,0.0285,0.0114,0.1073,0.0054,0.0372,0.0048,0.0087,0.0656,0.0399,0.0018,0.0286,0.2786,0.0067,0.0052,0.0153,0.2885,0.2009,0.3526,2.5102,5,1284072672,1284062112,1,0,116476604,14,11,1,1,0,0,0,0
14,0.0471,1.3885,0.8372,0.0024,0.8343,0.829,0.0035,0.0011,0.1766,0.5404,0.0043,0.0117,0.0061,0.0501,0.0025,0.0971,0.004,0.0063,0.0599,0.0554,0.0026,0.0406,0.3031,0.0097,0.0093,0.0358,0.4125,0.6366,0.6395,3.5367,6,1284072672,1284059296,2,0,116476604,15,12,1,1,0,0,0,0
15,0.0421,1.1487,0.7017,0.0033,0.6981,0.6924,0.0031,0.0019,0.1552,0.4368,0.0044,0.0093,0.006,0.0559,0.0019,0.0654,0.0032,0.0032,0.0519,0.026,0.0015,0.0336,0.2328,0.0084,0.0087,0.0314,0.2778,0.1969,0.3827,2.2331,7,1284072672,1284058592,0,0,116476604,16,13,1,1,0,0,0,0
16,0.042,1.3648,0.6138,0.0021,0.6115,0.6007,0.0076,0.0017,0.2836,0.7346,0.0089,0.0166,0.0121,0.1244,0.0054,0.0579,0.0019,0.0085,0.076,0.0578,0.0026,0.049,0.3651,0.0119,0.0048,0.0157,0.3001,0.3988,0.3815,2.6706,0,1284072672,1213998240,1,0,116476604,17,14,1,1,0,0,0,0
17,0.041,1.1438,0.61,0.0022,0.6074,0.599,0.0058,0.0013,0.2256,0.5142,0.0069,0.013,0.0112,0.0573,0.0038,0.0316,0.0095,0.0035,0.0341,0.0316,0.0027,0.0566,0.2112,0.0103,0.0092,0.0218,0.2921,0.2838,0.2458,2.1516,1,1284072672,1213998944,2,0,116476604,18,15,1,1,0,0,0,0
18,0.0751,1.7521,1.2243,0.0027,1.221,1.2128,0.0051,0.0013,0.2518,0.5078,0.0056,0.0152,0.0117,0.0628,0.0028,0.0228,0.0023,0.0052,0.0337,0.0422,0.0018,0.0261,0.1876,0.0067,0.0087,0.0176,0.2352,0.229,0.4014,2.8364,2,1284072672,1214000352,0,0,116476604,19,16,1,1,0,0,0,0
19,0.0498,1.4467,0.8687,0.0025,0.8658,0.8584,0.005,0.0012,0.1705,0.5527,0.0054,0.0109,0.0065,0.0571,0.0023,0.0881,0.0068,0.005,0.0823,0.046,0.0027,0.0393,0.3128,0.0127,0.0095,0.0388,0.3306,0.3635,0.3576,2.772,3,1284072672,1214001056,1,0,116476604,20,17,1,1,0,0,0,0
20,0.0441,1.8987,1.1395,0.0025,1.1367,1.1295,0.0048,0.0018,0.2209,0.7303,0.0039,0.01,0.0062,0.174,0.0031,0.0634,0.0036,0.0036,0.0786,0.0671,0.0017,0.0694,0.4525,0.0095,0.007,0.0195,0.4697,0.3848,0.6095,3.5956,4,1284072672,1284070560,2,0,116476604,21,18,1,1,0,0,0,0
21,0.0456,1.0716,0.6227,0.0022,0.6202,0.6138,0.0044,0.001,0.1564,0.4194,0.0045,0.0133,0.0079,0.0604,0.002,0.023,0.0023,0.0072,0.0406,0.0382,0.0022,0.0366,0.1988,0.0094,0.0132,0.0381,0.3355,0.1856,0.4259,2.2168,5,1284072672,1284062112,0,0,116476604,22,19,1,1,0,0,0,0
22,0.0425,1.2416,0.8287,0.0021,0.8263,0.8198,0.0044,0.001,0.16,0.3915,0.0039,0.0083,0.0059,0.0444,0.0018,0.0207,0.002,0.0073,0.0342,0.0438,0.0018,0.0369,0.18,0.0091,0.0096,0.0326,0.3053,0.1699,0.2416,2.1387,6,1284072672,1284059296,1,0,116476604,23,20,1,1,0,0,0,0
23,0.0433,1.568,0.9913,0.0025,0.9886,0.9814,0.0051,0.0007,0.2051,0.545,0.0051,0.0122,0.0087,0.105,0.0028,0.0358,0.0033,0.0029,0.0702,0.031,0.0017,0.0371,0.2791,0.0085,0.0178,0.0306,0.2119,0.1879,0.2696,2.4231,7,1284072672,1284058592,2,0,116476604,24,21,1,1,0,0,0,0
24,0.0456,1.5375,0.7985,0.0021,0.7962,0.7897,0.0043,0.001,0.1901,0.7225,0.0052,0.0283,0.0074,0.1402,0.0288,0.0833,0.0061,0.0108,0.1097,0.0435,0.0014,0.0351,0.4118,0.0102,0.0073,0.013,0.2264,0.2503,0.3773,2.5801,0,1284072672,1213998240,0,0,116476604,25,22,1,1,0,0,0,0
25,0.0436,1.4152,0.774,0.0022,0.7717,0.7598,0.009,0.0016,0.2569,0.6022,0.0071,0.0133,0.0108,0.0922,0.0049,0.0365,0.0075,0.0041,0.0533,0.0379,0.0029,0.0416,0.2615,0.0142,0.0209,0.0421,0.5312,0.2648,0.3319,2.7639,1,1284072672,1213998944,1,0,116476604,26,23,1,1,0,0,0,0
26,0.0412,1.2508,0.7054,0.0022,0.7029,0.6968,0.0041,0.0009,0.1789,0.5187,0.0038,0.0105,0.0065,0.0911,0.0098,0.0451,0.0046,0.0042,0.0473,0.0412,0.0031,0.042,0.2667,0.0158,0.0114,0.0302,0.3427,0.2315,1.1254,3.1857,2,1284072672,1214000352,2,0,116476604,27,24,1,1,0,0,0,0
27,0.0421,1.3057,0.7664,0.0028,0.7634,0.7584,0.0031,0.0012,0.1835,0.5155,0.0041,0.0095,0.0057,0.0556,0.002,0.0959,0.0035,0.0028,0.0566,0.0386,0.0017,0.0347,0.2814,0.0094,0.0094,0.032,0.3417,0.2217,0.4632,2.5379,3,1284072672,1214001056,0,0,116476604,28,25,1,1,0,0,0,0
28,0.0445,1.2139,0.7931,0.0024,0.7904,0.7845,0.0042,0.001,0.1591,0.4014,0.0036,0.0089,0.0061,0.0479,0.0019,0.0262,0.0036,0.0038,0.0488,0.0378,0.0018,0.0298,0.1905,0.0102,0.0058,0.0317,0.2955,0.204,0.2557,2.1525,4,1284072672,1284070560,1,0,116476604,29,26,1,1,0,0,0,0
29,0.0436,1.3267,0.789,0.0023,0.7865,0.7753,0.008,0.0014,0.2358,0.5161,0.0041,0.0089,0.0074,0.0648,0.0042,0.0356,0.0021,0.0025,0.0504,0.0403,0.0014,0.0371,0.2282,0.0079,0.0097,0.026,0.2865,0.1891,0.8391,2.8885,5,1284072672,1284062112,2,0,116476604,30,27,1,1,0,0,0,0
30,0.0451,1.3315,0.6751,0.0029,0.6718,0.6636,0.0062,0.0007,0.1709,0.6218,0.0038,0.0111,0.006,0.1746,0.0042,0.0414,0.0041,0.0093,0.0763,0.0496,0.0032,0.0361,0.378,0.0156,0.0219,0.0315,0.4587,0.3011,0.2763,2.6315,6,1284072672,1284059296,0,0,116476604,31,28,1,1,0,0,0,0
31,0.0387,1.1087,0.5469,0.0022,0.5445,0.5382,0.0046,0.0007,0.1925,0.5432,0.004,0.0082,0.0061,0.0665,0.0048,0.0568,0.0035,0.0022,0.0677,0.0571,0.0014,0.0526,0.3007,0.0074,0.0075,0.0242,0.291,0.2386,0.2666,2.1064,7,1284072672,1284058592,1,0,116476604,32,29,1,1,0,0,0,0
32,0.0441,1.3421,0.7187,0.0022,0.716,0.7028,0.0105,0.0013,0.2243,0.5897,0.007,0.0124,0.0098,0.101,0.0079,0.0291,0.0043,0.0047,0.0624,0.0577,0.0015,0.0418,0.292,0.0093,0.0141,0.0282,0.278,0.1734,0.2433,2.2104,0,1284072672,1213998240,2,0,116476604,33,30,1,1,0,0,0,0
33,0.0391,1.3005,0.7615,0.0021,0.7592,0.7514,0.006,0.0008,0.1664,0.5138,0.0036,0.0096,0.0058,0.077,0.0039,0.0448,0.0051,0.0028,0.0605,0.0594,0.0039,0.0484,0.2901,0.0101,0.0166,0.0284,0.2642,0.1974,0.6239,2.6878,1,1284072672,1213998944,0,0,116476604,34,31,1,1,0,0,0,0
34,0.0472,1.3482,0.6172,0.0034,0.6136,0.6076,0.004,0.0011,0.1547,0.7123,0.0043,0.0094,0.0067,0.2867,0.0068,0.0537,0.0034,0.0037,0.0601,0.0467,0.0018,0.0518,0.499,0.0086,0.0121,0.0136,0.2285,0.1672,0.3328,2.3208,2,1284072672,1214000352,1,0,116476604,35,32,1,1,0,0,0,0
35,0.0417,1.406,0.7075,0.0021,0.7052,0.693,0.0094,0.0013,0.2559,0.6649,0.0068,0.0108,0.0101,0.1179,0.0083,0.0504,0.0079,0.005,0.0744,0.0495,0.0018,0.0395,0.3317,0.0105,0.0186,0.0225,0.3141,0.1763,0.2057,2.2598,3,1284072672,1214001056,2,0,116476604,36,33,1,1,0,0,0,0
36,0.0398,1.2749,0.694,0.0021,0.6917,0.6832,0.0063,0.0012,0.1699,0.5639,0.0046,0.0091,0.0057,0.1174,0.0068,0.0577,0.0052,0.0039,0.0758,0.0454,0.0028,0.0375,0.3338,0.0086,0.01,0.0143,0.2865,0.202,0.3676,2.3388,4,1284072672,1284070560,0,0,116476604,37,34,1,1,0,0,0,0
37,0.0421,1.5435,0.7718,0.0022,0.7694,0.7565,0.0102,0.0014,0.226,0.7535,0.0065,0.0099,0.0107,0.1171,0.0082,0.0808,0.0128,0.0091,0.0971,0.0829,0.0039,0.0478,0.4257,0.0239,0.0103,0.019,0.3319,0.2158,0.3917,2.7106,5,1284072672,1284062112,1,0,116476604,38,35,1,1,0,0,0,0
38,0.051,1.2794,0.719,0.0024,0.7162,0.7054,0.0085,0.0008,0.1603,0.5326,0.0039,0.0095,0.0057,0.0912,0.0076,0.0558,0.0043,0.0049,0.0613,0.0533,0.0029,0.0461,0.3077,0.0142,0.0177,0.0259,0.2419,0.1483,0.2697,2.1207,6,1284072672,1284059296,2,0,116476604,39,36,1,1,0,0,0,0
39,0.0368,1.5043,0.6708,0.0019,0.6686,0.6551,0.0108,0.0013,0.2688,0.817,0.0064,0.0108,0.0098,0.1689,0.0086,0.0898,0.0075,0.0083,0.0946,0.0568,0.0034,0.0555,0.4656,0.0111,0.0099,0.0157,0.2939,0.2528,1.5466,4.1515,7,1284072672,1284058592,0,0,116476604,40,37,1,1,0,0,0,0
40,0.0655,1.755,0.8682,0.0026,0.8653,0.8507,0.0119,0.0013,0.2953,0.8445,0.0077,0.0177,0.0123,0.154,0.009,0.0931,0.0048,0.0095,0.0869,0.076,0.0025,0.0427,0.4527,0.0121,0.0237,0.0438,0.4256,0.8273,1.1185,4.7903,0,1284072672,1213998240,1,0,116476604,41,38,1,1,0,0,0,0
41,0.0543,1.6462,0.8284,0.0024,0.8256,0.8143,0.0088,0.0012,0.2498,0.774,0.0073,0.0138,0.0109,0.1224,0.0049,0.054,0.006,0.0098,0.088,0.0811,0.0043,0.0841,0.4296,0.0168,0.0335,0.0218,0.517,0.2912,0.4576,3.1841,1,1284072672,1213998944,2,0,116476604,42,39,1,1,0,0,0,0
42,0.0477,1.7543,0.79,0.0021,0.7877,0.7743,0.0102,0.0018,0.3406,0.9372,0.008,0.0194,0.015,0.1635,0.0185,0.0451,0.0104,0.0055,0.0711,0.1131,0.0041,0.0833,0.4761,0.0184,0.0159,0.0279,0.4767,0.2521,0.3882,3.1135,2,1284072672,1214000352,0,0,116476604,43,40,1,1,0,0,0,0
43,0.0447,1.2825,0.7832,0.0019,0.7811,0.7731,0.0058,0.0011,0.173,0.4674,0.004,0.0099,0.0069,0.0659,0.0047,0.0294,0.0044,0.0033,0.0531,0.0404,0.0022,0.0464,0.2352,0.012,0.0195,0.0342,0.3126,0.1659,0.3077,2.2603,3,1284072672,1214001056,1,0,116476604,44,41,1,1,0,0,0,0
44,0.0495,1.7781,0.8205,0.0024,0.8179,0.8104,0.006,0.0009,0.2274,0.8824,0.0033,0.0088,0.0058,0.1526,0.0207,0.0922,0.0101,0.0079,0.0813,0.0401,0.0016,0.1535,0.5197,0.0586,0.0324,0.0646,1.1949,0.8379,1.343,5.8242,4,1284072672,1284070560,2,0,116476604,45,42,1,1,0,0,0,0
45,0.1777,5.8322,2.2536,0.0194,2.2333,2.1787,0.0433,0.0054,1.1552,3.4942,0.0295,0.0519,0.0485,0.7134,0.04,0.5579,0.0315,0.0325,0.3378,0.2215,0.0084,0.1454,1.976,0.0488,0.0375,0.0456,0.7112,0.4789,0.5732,8.1243,5,1284072672,1284062112,0,0,116476604,46,43,1,1,0,0,0,0
46,0.0387,1.387,0.7129,0.002,0.7106,0.698,0.0095,0.0012,0.2499,0.6283,0.0072,0.0104,0.01,0.084,0.0099,0.0451,0.0111,0.0046,0.0677,0.048,0.0034,0.0418,0.2866,0.0189,0.0222,0.0316,0.3457,0.2523,0.3049,2.5196,6,1284072672,1284059296,1,0,116476604,47,44,1,1,0,0,0,0
