frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,clear_prev_above,vp_chart_blend,chart_flush,vp_gauge_blend,gauge_flush,map_resample,vp_map_blend,map_flush1,map_flush2,above_blend,above_flush,flush_total,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,retries,submit_result,query_result,decoder_copy
0,0.2815,19.5188,0.1269,0.0563,0.0695,0.0513,0.0073,0.0062,11.8282,19.3575,0.0102,0.0001,0.0641,6.6524,0.0155,0.0516,0.0056,0.0093,0.1031,0.065,0.0033,0.2397,7.1118,0.0204,0.02,0.076,4.0517,0.008,0,23.9465,0,1095234336,1095239264,0,0,116476604,1,0,1,0,0,0,24,0
1,0.0428,1.6658,0.6551,0.0022,0.6527,0.6448,0.0057,0.0013,0.4342,0.9761,0.0174,0.0163,0.0155,0.1271,0.0094,0.0889,0.007,0.0057,0.0723,0.0697,0.0048,0.0704,0.4284,0.0145,0.0323,0.052,4.9574,0.3418,0.6,8.0403,1,1095234336,1095236448,1,0,116476604,2,1,1,1,0,0,0,0
2,0.056,1.7888,0.7007,0.0046,0.6958,0.6873,0.0062,0.0012,0.3784,1.079,0.0148,0.0253,0.0852,0.1811,0.0107,0.1063,0.0035,0.0086,0.065,0.0621,0.0066,0.0947,0.5092,0.0057,0.0081,0.0182,0.3843,0.2678,0.3918,3.0317,2,1095234336,1095238560,2,0,116476604,3,2,1,1,0,0,0,0
3,0.0467,2.0286,0.8374,0.0036,0.8335,0.8244,0.0073,0.0011,0.2816,1.1756,0.0131,0.0223,0.0154,0.1604,0.0047,0.3157,0.0124,0.0072,0.1023,0.1135,0.0045,0.078,0.7699,0.0075,0.0136,0.0195,0.5289,0.006,0,2.6336,3,1095234336,1095240672,0,0,116476604,4,2,1,0,0,0,24,0
4,0.2174,6.343,3.392,0.0328,3.3576,3.2925,0.0519,0.0069,0.9605,2.9246,0.025,0.0248,0.033,0.3051,0.0127,0.1463,0.01,0.0241,0.2982,0.2019,0.0267,0.7958,1.7473,0.0142,0.0242,0.0342,1.4305,0.4818,0.6424,9.4101,4,1095234336,1095242784,1,0,116476604,5,3,1,1,0,0,0,0
5,0.0551,1.9396,0.9198,0.0037,0.9157,0.9015,0.0114,0.0013,0.3719,1.0013,0.0153,0.028,0.014,0.2187,0.0044,0.0596,0.004,0.0096,0.0812,0.0747,0.0067,0.0755,0.5097,0.0058,0.0172,0.0218,9.632,0.2645,0.3847,12.5404,5,1095234336,1095229408,2,0,116476604,6,4,1,1,0,0,0,0
6,0.0538,2.0638,1.0955,0.0028,1.0924,1.0752,0.0142,0.0013,0.2757,0.958,0.0088,0.0098,0.0078,0.1513,0.005,0.0906,0.0051,0.018,0.1515,0.0928,0.0043,0.1149,0.6011,0.0049,0.0092,0.0169,0.5381,0.0054,0,2.6811,6,1095234336,1095228000,0,0,116476604,7,4,1,0,0,0,24,0
7,0.0451,3.1534,0.7957,0.0029,0.7925,0.7795,0.0098,0.0011,0.6503,2.3485,0.0104,0.0124,0.0103,0.497,0.0089,0.2431,0.0037,0.0102,0.4812,0.201,0.0037,0.1965,1.6188,0.0041,0.0086,0.0146,0.534,0.1619,0.233,4.252,7,1095234336,1095230816,1,0,116476604,8,5,1,1,0,0,0,0
8,0.0868,3.7085,1.292,0.0035,1.2881,1.2789,0.0069,0.0013,1.2339,2.4007,0.0215,0.0366,0.0146,0.1839,0.0035,0.2269,0.0063,0.0065,0.0935,0.2189,0.0038,0.3056,1.0288,0.0074,0.0142,0.0183,2.1756,1.2694,1.4624,9.9585,0,1095234336,1095239264,2,0,116476604,9,6,1,1,0,0,0,0
9,0.0452,1.1866,0.5983,0.0033,0.5948,0.5878,0.0056,0.0009,0.2252,0.5764,0.0059,0.0113,0.0081,0.0902,0.0088,0.0512,0.0026,0.0045,0.0587,0.0366,0.0035,0.0508,0.2875,0.0045,0.011,0.0164,0.378,0.2583,0.2823,2.3103,1,1095234336,1095236448,0,0,116476604,10,7,1,1,0,0,0,0
10,0.0458,1.55,0.7867,0.0027,0.7837,0.7716,0.0096,0.0011,0.2608,0.754,0.0068,0.0094,0.0084,0.1365,0.0193,0.0644,0.0049,0.007,0.098,0.0656,0.0024,0.051,0.4155,0.0035,0.0085,0.0151,0.3907,0.7234,1.5386,4.9308,2,1095234336,1095238560,1,0,116476604,11,8,1,1,0,0,0,0
11,0.0412,1.8312,0.9483,0.0026,0.9454,0.9307,0.0119,0.0011,0.3073,0.8677,0.0096,0.0219,0.0154,0.1985,0.0194,0.0725,0.0046,0.0029,0.0764,0.0488,0.0036,0.0596,0.4558,0.0046,0.0145,0.0219,0.2928,0.2191,0.2884,2.8318,3,1095234336,1095240672,2,0,116476604,12,9,1,1,0,0,0,0
12,0.0403,1.4742,0.7381,0.0026,0.7353,0.7218,0.0106,0.0014,0.2475,0.7238,0.0098,0.0099,0.0108,0.0958,0.0049,0.0572,0.0054,0.0191,0.1098,0.0596,0.0078,0.0577,0.3801,0.0083,0.0114,0.0214,0.3309,0.2567,0.4936,2.7669,4,1095234336,1095242784,0,0,116476604,13,10,1,1,0,0,0,0
13,0.0402,1.5354,0.7794,0.0029,0.7763,0.7622,0.0106,0.0019,0.2409,0.7441,0.0094,0.0122,0.0113,0.1303,0.0146,0.0587,0.0101,0.0052,0.0918,0.0465,0.009,0.0759,0.4032,0.0078,0.011,0.0191,0.3719,0.2343,0.3013,2.6429,5,1095234336,1095229408,1,0,116476604,14,11,1,1,0,0,0,0
14,0.0433,1.6014,0.6886,0.0032,0.6851,0.6776,0.0054,0.0009,0.3155,0.8999,0.0115,0.014,0.017,0.1432,0.0065,0.0836,0.0098,0.0057,0.0964,0.0613,0.0043,0.1005,0.485,0.01,0.0122,0.0185,0.2798,0.261,0.4614,2.9579,6,1095234336,1095228000,2,0,116476604,15,12,1,1,0,0,0,0
15,0.0417,1.1882,0.5381,0.0027,0.5352,0.529,0.0046,0.0008,0.1741,0.6438,0.0054,0.0079,0.0069,0.1297,0.0138,0.064,0.0036,0.0048,0.069,0.0824,0.0022,0.0595,0.4046,0.0036,0.0056,0.0141,0.2832,0.2092,0.3178,2.1887,7,1095234336,1095230816,0,0,116476604,16,13,1,1,0,0,0,0
16,0.0382,1.3571,0.6855,0.0029,0.6824,0.675,0.006,0.0009,0.186,0.6482,0.006,0.0096,0.0072,0.1198,0.0139,0.0849,0.0084,0.0045,0.0671,0.0756,0.0039,0.0393,0.3867,0.0056,0.0126,0.0148,0.2994,0.3298,0.2577,2.4517,0,1095234336,1095239264,1,0,116476604,17,14,1,1,0,0,0,0
17,0.0596,1.9288,0.8506,0.0058,0.8441,0.8299,0.0112,0.0016,0.3302,1.034,0.0118,0.0165,0.011,0.1919,0.0128,0.1239,0.0117,0.0076,0.0836,0.059,0.0028,0.1382,0.5966,0.0083,0.0239,0.0385,0.7046,0.3796,0.4182,3.7284,1,1095234336,1095236448,2,0,116476604,18,15,1,1,0,0,0,0
18,0.0445,1.4763,0.725,0.0025,0.7223,0.7153,0.0052,0.0008,0.2873,0.7331,0.0103,0.0121,0.0112,0.125,0.0064,0.069,0.0075,0.0077,0.0763,0.0511,0.0033,0.037,0.3584,0.0069,0.0086,0.0135,0.229,0.1968,0.36,2.4381,2,1095234336,1095238560,0,0,116476604,19,16,1,1,0,0,0,0
