frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,23277179552856,23277181634876,23277181635366,23277182096231,23277182140800,23277183210013,23277183458646,23277183458850,16,39.0599,20.8202,0.0049,4.60865,0.44569,10.6921,2.48633
1,1,0,1e+08,23277185658008,23277187381125,23277187381409,23277187489164,23277187518076,23277187982851,23277188160975,23277188161019,16,25.0301,17.2312,0.00284,1.07755,0.28912,4.64775,1.78124
2,1,0,1e+08,23277190949299,23277192525850,23277192526385,23277192611666,23277192629814,23277193433200,23277193678961,23277193679025,16,27.2973,15.7655,0.00535,0.85281,0.18148,8.03386,2.45761
3,1,0,1e+08,23277194830835,23277197523285,23277197523433,23277197615793,23277197639561,23277198461894,23277198686413,23277198686477,16,38.5564,26.9245,0.00148,0.9236,0.23768,8.22333,2.24519
4,1,0,1e+08,23277199585441,23277199965939,23277199965995,23277200050868,23277200072400,23277200530953,23277200788069,23277200788113,16,12.0267,3.80498,0.00056,0.84873,0.21532,4.58553,2.57116
5,1,0,1e+08,23277201868337,23277203240253,23277203240481,23277203315390,23277203335234,23277203708450,23277203859158,23277203859190,16,19.9085,13.7192,0.00228,0.74909,0.19844,3.73216,1.50708
6,1,0,1e+08,23277205445944,23277210851526,23277210851698,23277210960946,23277210985418,23277211912458,23277212158797,23277212158861,16,67.1292,54.0558,0.00172,1.09248,0.24472,9.2704,2.46339
7,1,0,1e+08,23277212206945,23277212606217,23277212606369,23277212672329,23277212689165,23277212942645,23277213084561,23277213084597,16,8.77652,3.99272,0.00152,0.6596,0.16836,2.5348,1.41916
8,1,0,1e+08,23277213117237,23277213367505,23277213367557,23277213436009,23277213452297,23277214165206,23277214503988,23277214504200,16,13.8696,2.50268,0.00052,0.68452,0.16288,7.12909,3.38782
9,1,0,1e+08,23277216996212,23277217879182,23277217879278,23277217972874,23277217997374,23277218470052,23277218645124,23277218645168,16,16.4896,8.8297,0.00096,0.93596,0.245,4.72678,1.75072
