frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,23273439126355,23273440569094,23273441036768,23273441572112,23273441613094,23273442043060,23273442222276,23273442222320,16,30.9596,14.4274,4.67674,5.35344,0.40982,4.29966,1.79216
1,1,0,1e+08,23273446217217,23273447513188,23273447871888,23273447975656,23273447995060,23273448268912,23273448428352,23273448428388,16,22.1117,12.9597,3.587,1.03768,0.19404,2.73852,1.5944
2,1,0,1e+08,23273450223079,23273451081733,23273451815679,23273451924711,23273451988035,23273452430081,23273452717641,23273452717777,16,24.947,8.58654,7.33946,1.09032,0.63324,4.42046,2.8756
3,1,0,1e+08,23273453689418,23273456244480,23273456557984,23273456661836,23273456688540,23273458417154,23273458634610,23273458634646,16,49.4523,25.5506,3.13504,1.03852,0.26704,17.2861,2.17456
4,1,0,1e+08,23273458681466,23273458979340,23273459371387,23273459446027,23273459490408,23273460376690,23273460676096,23273460676184,16,19.9472,2.97874,3.92047,0.7464,0.44381,8.86282,2.99406
5,1,0,1e+08,23273460963607,23273463352196,23273463739944,23273463850028,23273463871768,23273464180200,23273464356968,23273464357016,16,33.9341,23.8859,3.87748,1.10084,0.2174,3.08432,1.76768
6,1,0,1e+08,23273466208042,23273470618739,23273471262237,23273471436170,23273471496710,23273471970920,23273472157120,23273472157164,16,59.4912,44.107,6.43498,1.73933,0.6054,4.7421,1.862
7,1,0,1e+08,23273472189376,23273472523024,23273472734524,23273472805968,23273472825612,23273473024120,23273473182576,23273473182612,16,9.93236,3.33648,2.115,0.71444,0.19644,1.98508,1.58456
8,1,0,1e+08,23273473221440,23273473579492,23273473879617,23273473952429,23273473992293,23273474253881,23273474408561,23273474408593,16,11.8715,3.58052,3.00125,0.72812,0.39864,2.61588,1.5468
9,1,0,1e+08,23273476151230,23273476610684,23273476889472,23273477010421,23273477029413,23273477297937,23273477449301,23273477449329,16,12.981,4.59454,2.78788,1.20949,0.18992,2.68524,1.51364
10,1,0,1e+08,23273478975106,23273479775726,23273480241310,23273480376106,23273480401758,23273480713478,23273480886618,23273480886774,16,19.1167,8.0062,4.65584,1.34796,0.25652,3.1172,1.7314
11,1,0,1e+08,23273482730394,23273483612156,23273484018006,23273484153282,23273484175882,23273484493486,23273484676378,23273484676542,16,19.4615,8.81762,4.0585,1.35276,0.226,3.17604,1.82892
12,1,0,1e+08,23273486685050,23273487691970,23273488049282,23273488144318,23273488164646,23273488441790,23273488600834,23273488600870,16,19.1582,10.0692,3.57312,0.95036,0.20328,2.77144,1.59044
13,1,0,1e+08,23273490478370,23273490957720,23273491588686,23273491684298,23273491705815,23273491999455,23273492175911,23273492175943,16,16.9757,4.7935,6.30966,0.95612,0.21517,2.9364,1.76456
14,1,0,1e+08,23273493169857,23273493543497,23273493836961,23273493914749,23273493939901,23273494324169,23273494488977,23273494489013,16,13.1916,3.7364,2.93464,0.77788,0.25152,3.84268,1.64808
15,1,0,1e+08,23273495728423,23273496613899,23273497053133,23273497170533,23273497191453,23273497503513,23273497721609,23273497721741,16,19.9332,8.85476,4.39234,1.174,0.2092,3.1206,2.18096
16,1,0,1e+08,23273501876387,23273502333939,23273502680875,23273502772555,23273502804791,23273503670885,23273503890514,23273503890578,16,20.1419,4.57552,3.46936,0.9168,0.32236,8.66094,2.19629
17,1,0,1e+08,23273505644458,23273506200996,23273506780909,23273506857487,23273506896507,23273507167195,23273507354167,23273507354215,16,17.0976,5.56538,5.79913,0.76578,0.3902,2.70688,1.86972
18,1,0,1e+08,23273508201146,23273509012395,23273509453149,23273509590901,23273509618069,23273509948005,23273510151125,23273510151161,16,19.5002,8.11249,4.40754,1.37752,0.27168,3.29936,2.0312
19,1,0,1e+08,23273511961265,23273512312446,23273512720537,23273512813529,23273512841937,23273513116445,23273513287193,23273513287225,16,13.2596,3.51181,4.08091,0.92992,0.28408,2.74508,1.70748
20,1,0,1e+08,23273515883964,23273516713887,23273517187917,23273517298746,23273517341518,23273517692670,23273517858790,23273517858830,16,19.7487,8.29923,4.7403,1.10829,0.42772,3.51152,1.6612
21,1,0,1e+08,23273519901532,23273520706099,23273521149454,23273521243610,23273521293134,23273521610762,23273521783670,23273521783830,16,18.823,8.04567,4.43355,0.94156,0.49524,3.17628,1.72908
22,1,0,1e+08,23273523755888,23273524692883,23273525071396,23273525202916,23273525228468,23273525517304,23273525679820,23273525679860,16,19.2397,9.36995,3.78513,1.3152,0.25552,2.88836,1.62516
23,1,0,1e+08,23273527411510,23273528320768,23273528724384,23273528836656,23273528859628,23273529168584,23273529330184,23273529330224,16,19.1871,9.09258,4.03616,1.12272,0.22972,3.08956,1.616
24,1,0,1e+08,23273531233753,23273531564483,23273531910176,23273531998220,23273532024136,23273532527022,23273532670590,23273532670626,16,14.3687,3.3073,3.45693,0.88044,0.25916,5.02886,1.43568
25,1,0,1e+08,23273533926126,23273535394465,23273535725051,23273535821291,23273535853639,23273536092227,23273536288815,23273536288847,16,23.6272,14.6834,3.30586,0.9624,0.32348,2.38588,1.96588
26,1,0,1e+08,23273537645754,23273538525473,23273538924836,23273539043252,23273539066848,23273539374928,23273539561936,23273539561968,16,19.1621,8.79719,3.99363,1.18416,0.23596,3.0808,1.87008
27,1,0,1e+08,23273541477547,23273542337251,23273542770028,23273542901804,23273542924324,23273543243260,23273543469316,23273543469448,16,19.919,8.59704,4.32777,1.31776,0.2252,3.18936,2.26056
28,1,0,1e+08,23273545520747,23273545852819,23273546254408,23273546352747,23273546381015,23273547001386,23273547445000,23273547445092,16,19.2434,3.32072,4.01589,0.98339,0.28268,6.20371,4.43614
29,1,0,1e+08,23273549513858,23273550426839,23273550864630,23273550966758,23273550987330,23273551307378,23273551466182,23273551466222,16,19.5236,9.12981,4.37791,1.02128,0.20572,3.20048,1.58804
30,1,0,1e+08,23273553488877,23273554634664,23273554906016,23273554999272,23273555015524,23273555305021,23273555502409,23273555502441,16,20.1356,11.4579,2.71352,0.93256,0.16252,2.89497,1.97388
31,1,0,1e+08,23273556091249,23273556500763,23273556791335,23273556865375,23273556886103,23273557153063,23273557321315,23273557321347,16,12.301,4.09514,2.90572,0.7404,0.20728,2.6696,1.68252
32,1,0,1e+08,23273558647003,23273559405309,23273559909698,23273559993386,23273560021262,23273560380214,23273560597482,23273560597518,16,19.5052,7.58306,5.04389,0.83688,0.27876,3.58952,2.17268
33,1,0,1e+08,23273562420833,23273562883787,23273563249133,23273563357149,23273563380529,23273563684836,23273564297536,23273564297676,16,18.7684,4.62954,3.65346,1.08016,0.2338,3.04307,6.127
34,1,0,1e+08,23273566018836,23273566819155,23273567258474,23273567390807,23273567415579,23273567724107,23273567894775,23273567894815,16,18.7598,8.00319,4.39319,1.32333,0.24772,3.08528,1.70668
35,1,0,1e+08,23273569903383,23273571198397,23273571683128,23273571795620,23273571818736,23273572685666,23273572905697,23273572905761,16,30.0238,12.9501,4.84731,1.12492,0.23116,8.6693,2.20031
36,1,0,1e+08,23273572942869,23273573343990,23273573592794,23273573662334,23273573681918,23273573897254,23273574066562,23273574066602,16,11.2373,4.01121,2.48804,0.6954,0.19584,2.15336,1.69308
37,1,0,1e+08,23273575685563,23273576508651,23273576950566,23273577059707,23273577081159,23273577400763,23273577592871,23273577592907,16,19.0734,8.23088,4.41915,1.09141,0.21452,3.19604,1.92108
38,1,0,1e+08,23273579384083,23273579867366,23273580317123,23273580412011,23273580460783,23273581003543,23273581416242,23273581416306,16,20.3222,4.83283,4.49757,0.94888,0.48772,5.4276,4.12699
39,1,0,1e+08,23273583589534,23273584294469,23273584737942,23273584828422,23273584850282,23273585098726,23273585242834,23273585242870,16,16.5334,7.04935,4.43473,0.9048,0.2186,2.48444,1.44108
40,1,0,1e+08,23273586100460,23273586932798,23273587363676,23273587487064,23273587511296,23273587827140,23273588016508,23273588016544,16,19.1608,8.32338,4.30878,1.23388,0.24232,3.15844,1.89368
41,1,0,1e+08,23273589773986,23273590169456,23273590588726,23273590700183,23273590738615,23273591042655,23273591198607,23273591198639,16,14.2465,3.9547,4.1927,1.11457,0.38432,3.0404,1.55952
42,1,0,1e+08,23273592178917,23273593040055,23273593506052,23273593639520,23273593664512,23273594026424,23273594184092,23273594184128,16,20.0521,8.61138,4.65997,1.33468,0.24992,3.61912,1.57668
43,1,0,1e+08,23273595760349,23273596604723,23273597082476,23273597208840,23273597229368,23273597581748,23273597742580,23273597742616,16,19.8227,8.44374,4.77753,1.26364,0.20528,3.5238,1.60832
44,1,0,1e+08,23273599044790,23273599870653,23273600294334,23273600422374,23273600440758,23273600765330,23273600926274,23273600926370,16,18.8158,8.25863,4.23681,1.2804,0.18384,3.24572,1.60944
45,1,0,1e+08,23273602507346,23273603313951,23273603789048,23273603927545,23273603951717,23273604292557,23273604445625,23273604445665,16,19.3832,8.06605,4.75097,1.38497,0.24172,3.4084,1.53068
46,1,0,1e+08,23273606005429,23273606391244,23273606779262,23273606869154,23273606973294,23273607828617,23273608065450,23273608065618,16,20.6019,3.85815,3.88018,0.89892,1.0414,8.55323,2.36833
47,1,0,1e+08,23273609282263,23273609583225,23273610002988,23273610104772,23273610134384,23273610588488,23273610765492,23273610765616,16,14.8335,3.00962,4.19763,1.01784,0.29612,4.54104,1.77004
48,1,0,1e+08,23273611381333,23273612164133,23273612585248,23273612682265,23273612701457,23273613035685,23273613232537,23273613232569,16,18.5124,7.828,4.21115,0.97017,0.19192,3.34228,1.96852
49,1,0,1e+08,23273614896641,23273615737897,23273616171810,23273616313254,23273616338022,23273616684546,23273616845362,23273616845398,16,19.4876,8.41256,4.33913,1.41444,0.24768,3.46524,1.60816
50,1,0,1e+08,23273618638805,23273619059282,23273619559245,23273619875851,23273619927632,23273620473745,23273620668517,23273620668565,16,20.2976,4.20477,4.99963,3.16606,0.51781,5.46113,1.94772
51,1,0,1e+08,23273622144029,23273622589800,23273622952235,23273623089283,23273623117535,23273623344967,23273623542943,23273623542995,16,13.9897,4.45771,3.62435,1.37048,0.28252,2.27432,1.97976
52,1,0,1e+08,23273624222844,23273625099533,23273625511213,23273625580657,23273625603657,23273625952361,23273626150993,23273626151025,16,19.2818,8.76689,4.1168,0.69444,0.23,3.48704,1.98632
53,1,0,1e+08,23273627533601,23273628404752,23273628814345,23273628937429,23273628961201,23273629264373,23273629412849,23273629412881,16,18.7928,8.71151,4.09593,1.23084,0.23772,3.03172,1.48476
54,1,0,1e+08,23273630711680,23273631406314,23273631983876,23273632073769,23273632190678,23273632535598,23273632687362,23273632687402,16,19.7572,6.94634,5.77562,0.89893,1.16909,3.4492,1.51764
55,1,0,1e+08,23273634033597,23273634835294,23273635272782,23273635402746,23273635430418,23273635746710,23273635893054,23273635893090,16,18.5949,8.01697,4.37488,1.29964,0.27672,3.16292,1.46344
