frame,ready,disjoint,freq,begin_ts,blt_ts,range_ts,charts_ts,gauge_ts,map_ts,hud_ts,end_ts,read_latency,span_ms,vp_ms,range_ms,charts_ms,gauge_ms,map_ms,hud_ms
0,1,0,1e+08,23269679515515,23269681841784,23269682395570,23269682665986,23269682688510,23269683243082,23269683675700,23269683675912,16,41.604,23.2627,5.53786,2.70416,0.22524,5.54572,4.32618
1,1,0,1e+08,23269687948190,23269689267530,23269689852526,23269689948674,23269689968818,23269690189942,23269690340082,23269690340114,16,23.9192,13.1934,5.84996,0.96148,0.20144,2.21124,1.5014
2,1,0,1e+08,23269693252955,23269694536168,23269695171930,23269695272810,23269695291674,23269695524242,23269695674350,23269695674382,16,24.2143,12.8321,6.35762,1.0088,0.18864,2.32568,1.50108
3,1,0,1e+08,23269696861888,23269699550300,23269700168542,23269700381550,23269700409746,23269701317102,23269701566862,23269701567070,16,47.0518,26.8841,6.18242,2.13008,0.28196,9.07356,2.4976
4,1,0,1e+08,23269702726665,23269705609187,23269706354203,23269706468315,23269706488151,23269707204356,23269707602657,23269707602842,16,48.7618,28.8252,7.45016,1.14112,0.19836,7.16205,3.98301
5,1,0,1e+08,23269707690479,23269708407724,23269708986892,23269709058720,23269709101008,23269709361164,23269709521908,23269709521940,16,18.3146,7.17245,5.79168,0.71828,0.42288,2.60156,1.60744
6,1,0,1e+08,23269710501157,23269712647796,23269713276552,23269713398284,23269713418764,23269713653404,23269713820304,23269713820340,16,33.1918,21.4664,6.28756,1.21732,0.2048,2.3464,1.669
7,1,0,1e+08,23269715825789,23269719278184,23269719939053,23269720054671,23269720094927,23269721077840,23269721331237,23269721331449,16,55.0566,34.5239,6.60869,1.15618,0.40256,9.82913,2.53397
8,1,0,1e+08,23269721369109,23269721732249,23269722199229,23269722322001,23269722345657,23269723309730,23269723612780,23269723612844,16,22.4373,3.6314,4.6698,1.22772,0.23656,9.64073,3.0305
9,1,0,1e+08,23269723713056,23269724107024,23269724600944,23269724692840,23269724739112,23269725092816,23269725717853,23269725718043,16,20.0499,3.93968,4.9392,0.91896,0.46272,3.53704,6.25037
10,1,0,1e+08,23269727535783,23269728902666,23269729520846,23269729652566,23269729674166,23269729917022,23269730108466,23269730108518,16,25.7274,13.6688,6.1818,1.3172,0.216,2.42856,1.91444
11,1,0,1e+08,23269732874853,23269733881376,23269734578694,23269734699382,23269734725538,23269734977614,23269735141606,23269735141638,16,22.6679,10.0652,6.97318,1.20688,0.26156,2.52076,1.63992
12,1,0,1e+08,23269738545474,23269739186318,23269739792886,23269739899194,23269739975290,23269740318675,23269740670603,23269740670773,16,21.253,6.40844,6.06568,1.06308,0.76096,3.43385,3.51928
13,1,0,1e+08,23269744305763,23269744650387,23269745111095,23269745181947,23269745223283,23269745971223,23269746592780,23269746592965,16,22.872,3.44624,4.60708,0.70852,0.41336,7.4794,6.21557
14,1,0,1e+08,23269748342149,23269749012783,23269750101592,23269750549956,23269750577896,23269750841365,23269751041914,23269751042079,16,26.9993,6.70634,10.8881,4.48364,0.2794,2.63469,2.00549
15,1,0,1e+08,23269753342015,23269753741927,23269755168470,23269755321794,23269755343414,23269756017014,23269756218670,23269756218834,16,28.7682,3.99912,14.2654,1.53324,0.2162,6.736,2.01656
16,1,0,1e+08,23269761689497,23269764465018,23269765732886,23269765808350,23269765843354,23269766150498,23269766325534,23269766325570,16,46.3607,27.7552,12.6787,0.75464,0.35004,3.07144,1.75036
17,1,0,1e+08,23269767162557,23269767994370,23269768609454,23269768810978,23269768842622,23269769075618,23269769269982,23269769270042,16,21.0748,8.31813,6.15084,2.01524,0.31644,2.32996,1.94364
18,1,0,1e+08,23269772321947,23269773370112,23269774030090,23269774161530,23269774181786,23269774422526,23269774568014,23269774568046,16,22.461,10.4817,6.59978,1.3144,0.20256,2.4074,1.45488
19,1,0,1e+08,23269776396452,23269777371673,23269778030670,23269778165550,23269778185118,23269778424594,23269778588706,23269778588894,16,21.9244,9.75221,6.58997,1.3488,0.19568,2.39476,1.64112
